
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvml_loader.dll

File Type: DLL

  Section contains the following exports for nvml_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         244 number of functions
         244 number of names

    ordinal hint RVA      name

        187   BA 0006C1AA nvmlGpuInstanceGetComputeInstanceProfileInfo
        188   BB 0006C1B0 nvmlGpuInstanceGetComputeInstanceRemainingCapacity
        189   BC 0006C1C2 nvmlGpuInstanceGetComputeInstances
        190   BD 0006C1A4 nvmlGpuInstanceGetInfo
        191   BE 0006BBA0 nvmlInit
        192   BF 0006BBD0 nvmlInitWithFlags
        193   C0 0006BEEC nvmlInit_v2
        194   C1 0006BEF2 nvmlInternalGetExportTable
        195   C2 0006C15C nvmlSetVgpuVersion
        196   C3 0006BEF8 nvmlShutdown
        197   C4 0006BF10 nvmlSystemGetCudaDriverVersion
        198   C5 0006BF16 nvmlSystemGetCudaDriverVersion_v2
        199   C6 0006BEFE nvmlSystemGetDriverVersion
        200   C7 0006BF04 nvmlSystemGetHicVersion
        201   C8 0006BF0A nvmlSystemGetNVMLVersion
        202   C9 0006BF1C nvmlSystemGetProcessName
        203   CA 0006BF9A nvmlSystemGetTopologyGpuSet
        204   CB 0006BF22 nvmlUnitGetCount
        205   CC 0006BF28 nvmlUnitGetDevices
        206   CD 0006BF2E nvmlUnitGetFanSpeedInfo
        207   CE 0006BF34 nvmlUnitGetHandleByIndex
        208   CF 0006BF3A nvmlUnitGetLedState
        209   D0 0006BF40 nvmlUnitGetPsuInfo
        210   D1 0006BF46 nvmlUnitGetTemperature
        211   D2 0006BF4C nvmlUnitGetUnitInfo
        212   D3 0006BF52 nvmlUnitSetLedState
        213   D4 0006C12C nvmlVgpuInstanceClearAccountingPids
        214   D5 0006C11A nvmlVgpuInstanceGetAccountingMode
        215   D6 0006C120 nvmlVgpuInstanceGetAccountingPids
        216   D7 0006C126 nvmlVgpuInstanceGetAccountingStats
        217   D8 0006C162 nvmlVgpuInstanceGetEccMode
        218   D9 0006C078 nvmlVgpuInstanceGetEncoderCapacity
        219   DA 0006C108 nvmlVgpuInstanceGetEncoderSessions
        220   DB 0006C102 nvmlVgpuInstanceGetEncoderStats
        221   DC 0006C150 nvmlVgpuInstanceGetFBCSessions
        222   DD 0006C14A nvmlVgpuInstanceGetFBCStats
        223   DE 0006C060 nvmlVgpuInstanceGetFbUsage
        224   DF 0006C072 nvmlVgpuInstanceGetFrameRateLimit
        225   E0 0006C084 nvmlVgpuInstanceGetGpuInstanceId
        226   E1 0006C066 nvmlVgpuInstanceGetLicenseStatus
        227   E2 0006C054 nvmlVgpuInstanceGetMdevUUID
        228   E3 0006C0BA nvmlVgpuInstanceGetMetadata
        229   E4 0006C06C nvmlVgpuInstanceGetType
        230   E5 0006C04E nvmlVgpuInstanceGetUUID
        231   E6 0006C05A nvmlVgpuInstanceGetVmDriverVersion
        232   E7 0006C048 nvmlVgpuInstanceGetVmID
        233   E8 0006C07E nvmlVgpuInstanceSetEncoderCapacity
