
Dump of file C:\Windows\System32\mfplat.dll

File Type: DLL

  Section contains the following exports for MFPlat.DLL

        155   96          MFGetWorkQueueMMCSSPriority (forwarded to RTWorkQ.RtwqGetWorkQueueMMCSSPriority)
        156   97          MFGetWorkQueueMMCSSTaskId (forwarded to RTWorkQ.RtwqGetWorkQueueMMCSSTaskId)
        157   98 000F8660 MFHasLocallyRegisteredByteStreamHandlers
        158   99 00021FC0 MFHasLocallyRegisteredSchemeHandlers
        159   9A 00075A40 MFHeapAlloc
        160   9B 00075A80 MFHeapFree
        161   9C 0002A650 MFInitAMMediaTypeFromMFMediaType
        162   9D 00033BD0 MFInitAttributesFromBlob
        163   9E 0002ABF0 MFInitMediaTypeFromAMMediaType
        164   9F 00010B80 MFInitMediaTypeFromMFVideoFormat
        165   A0 0003AC00 MFInitMediaTypeFromMPEG1VideoInfo
        166   A1 0001D100 MFInitMediaTypeFromMPEG2VideoInfo
        167   A2 00036B20 MFInitMediaTypeFromVideoInfoHeader
        168   A3 00036D10 MFInitMediaTypeFromVideoInfoHeader2
        169   A4 0002C3F0 MFInitMediaTypeFromWaveFormatEx
        170   A5 000A3900 MFInitVideoFormat
        171   A6 0001DC20 MFInitVideoFormat_RGB
        172   A7 000A8A50 MFInvalidateMFTEnumCache
        173   A8          MFInvokeCallback (forwarded to RTWorkQ.RtwqInvokeCallback)
        174   A9 000A2B90 MFIsBottomUpFormat
        175   AA 00126FB0 MFIsContentProtectionDeviceSupported
          6   AB 0006BAD0 MFIsFeatureEnabled
        176   AC 000F8740 MFIsLocallyRegisteredMimeType
        177   AD 000F8880 MFIsLocallyRegisteredSchemeHandler
        178   AE          MFJoinWorkQueue (forwarded to RTWorkQ.RtwqJoinWorkQueue)
        179   AF 0001A250 MFLockDXGIDeviceManager
        180   B0          MFLockPlatform (forwarded to RTWorkQ.RtwqLockPlatform)
        181   B1          MFLockSharedWorkQueue (forwarded to RTWorkQ.RtwqLockSharedWorkQueue)
