
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda_loader32.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        195   C2 002D66D0 cuGraphGetRootNodes
        196   C3 002D6754 cuGraphHostNodeGetParams
        197   C4 002D675A cuGraphHostNodeSetParams
        198   C5 002D66E2 cuGraphInstantiate
        199   C6 002D66E8 cuGraphInstantiate_v2
        200   C7 002D6850 cuGraphKernelNodeCopyAttributes
        201   C8 002D6856 cuGraphKernelNodeGetAttribute
        202   C9 002D66A6 cuGraphKernelNodeGetParams
        203   CA 002D685C cuGraphKernelNodeSetAttribute
        204   CB 002D6724 cuGraphKernelNodeSetParams
        205   CC 002D66FA cuGraphLaunch
        206   CD 002D6700 cuGraphLaunch_ptsz
        207   CE 002D66B2 cuGraphMemcpyNodeGetParams
        208   CF 002D671E cuGraphMemcpyNodeSetParams
        209   D0 002D66BE cuGraphMemsetNodeGetParams
        210   D1 002D66C4 cuGraphMemsetNodeSetParams
        211   D2 002D6736 cuGraphNodeFindInClone
        212   D3 002D66D6 cuGraphNodeGetDependencies
        213   D4 002D66DC cuGraphNodeGetDependentNodes
        214   D5 002D66CA cuGraphNodeGetType
        215   D6 002D6718 cuGraphRemoveDependencies
        216   D7 002D66EE cuGraphUpload
        217   D8 002D66F4 cuGraphUpload_ptsz
        218   D9 002D61A8 cuGraphicsD3D10RegisterResource
        219   DA 002D6226 cuGraphicsD3D11RegisterResource
        220   DB 002D6100 cuGraphicsD3D9RegisterResource
        221   DC 002D626E cuGraphicsGLRegisterBuffer
        222   DD 002D6274 cuGraphicsGLRegisterImage
        223   DE 002D6256 cuGraphicsMapResources
        224   DF 002D625C cuGraphicsMapResources_ptsz
        225   E0 002D6238 cuGraphicsResourceGetMappedMipmappedArray
        226   E1 002D623E cuGraphicsResourceGetMappedPointer
        227   E2 002D6244 cuGraphicsResourceGetMappedPointer_v2
        228   E3 002D624A cuGraphicsResourceSetMapFlags
        229   E4 002D6250 cuGraphicsResourceSetMapFlags_v2
        230   E5 002D6232 cuGraphicsSubResourceGetMappedArray
        231   E6 002D6262 cuGraphicsUnmapResources
        232   E7 002D6268 cuGraphicsUnmapResources_ptsz
        233   E8 002D622C cuGraphicsUnregisterResource
        234   E9 002D65D4 cuImportExternalMemory
        235   EA 002D65EC cuImportExternalSemaphore
        236   EB 002CA900 cuInit
        237   EC 002D663A cuIpcCloseMemHandle
        238   ED 002D661C cuIpcGetEventHandle
        239   EE 002D6628 cuIpcGetMemHandle
        240   EF 002D6622 cuIpcOpenEventHandle
        241   F0 002D662E cuIpcOpenMemHandle
        242   F1 002D6634 cuIpcOpenMemHandle_v2
        243   F2 002D5FD4 cuLaunch
        244   F3 002D5FF2 cuLaunchCooperativeKernel
        245   F4 002D5FFE cuLaunchCooperativeKernelMultiDevice
        246   F5 002D5FF8 cuLaunchCooperativeKernel_ptsz
        247   F6 002D5FDA cuLaunchGrid
        248   F7 002D5FE0 cuLaunchGridAsync
        249   F8 002D6004 cuLaunchHostFunc
        250   F9 002D600A cuLaunchHostFunc_ptsz
        251   FA 002D5FE6 cuLaunchKernel
        252   FB 002D5FEC cuLaunchKernel_ptsz
        253   FC 002D6052 cuLinkAddData
        254   FD 002D6058 cuLinkAddData_v2
        255   FE 002D605E cuLinkAddFile
        256   FF 002D6064 cuLinkAddFile_v2
        257  100 002D606A cuLinkComplete
        258  101 002D6046 cuLinkCreate
        259  102 002D604C cuLinkCreate_v2
        260  103 002D6070 cuLinkDestroy
        261  104 002D67F6 cuMemAddressFree
        262  105 002D67F0 cuMemAddressReserve
        263  106 002D5DEE cuMemAdvise
        264  107 002D5DA0 cuMemAlloc
        265  108 002D6892 cuMemAllocAsync
        266  109 002D6898 cuMemAllocAsync_ptsz
        267  10A 002D68DA cuMemAllocFromPoolAsync
        268  10B 002D68E0 cuMemAllocFromPoolAsync_ptsz
        269  10C 002D5E12 cuMemAllocHost
        270  10D 002D5E18 cuMemAllocHost_v2
        271  10E 002D5DB8 cuMemAllocManaged
        272  10F 002D5DAC cuMemAllocPitch
        273  110 002D5DB2 cuMemAllocPitch_v2
        274  111 002D5DA6 cuMemAlloc_v2
        275  112 002D67FC cuMemCreate
        276  113 002D6838 cuMemExportToShareableHandle
        277  114 002D5DBE cuMemFree
        278  115 002D6886 cuMemFreeAsync
        279  116 002D688C cuMemFreeAsync_ptsz
        280  117 002D5E1E cuMemFreeHost
        281  118 002D5DC4 cuMemFree_v2
        282  119 002D6826 cuMemGetAccess
        283  11A 002D5DD6 cuMemGetAddressRange
        284  11B 002D5DDC cuMemGetAddressRange_v2
        285  11C 002D682C cuMemGetAllocationGranularity
        286  11D 002D6832 cuMemGetAllocationPropertiesFromHandle
        287  11E 002D5DCA cuMemGetInfo
        288  11F 002D5DD0 cuMemGetInfo_v2
        289  120 002D5E24 cuMemHostAlloc
        290  121 002D5E2A cuMemHostGetDevicePointer
        291  122 002D5E30 cuMemHostGetDevicePointer_v2
        292  123 002D5E36 cuMemHostGetFlags
        293  124 002D5E3C cuMemHostRegister
        294  125 002D5E42 cuMemHostRegister_v2
        295  126 002D5E48 cuMemHostUnregister
        296  127 002D683E cuMemImportFromShareableHandle
        297  128 002D6808 cuMemMap
        298  129 002D680E cuMemMapArrayAsync
        299  12A 002D6814 cuMemMapArrayAsync_ptsz
        300  12B 002D68C2 cuMemPoolCreate
        301  12C 002D68C8 cuMemPoolDestroy
        302  12D 002D68F2 cuMemPoolExportPointer
