
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igvk32.dll

File Type: DLL

  Section contains the following exports for igvk32.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         271 number of functions
         271 number of names

    ordinal hint RVA      name

        228   E3 0037F480 vkGetQueryPoolResults
        229   E4 0037F4D0 vkGetQueueCheckpointDataNV
        230   E5 0037F500 vkGetRenderAreaGranularity
        231   E6 0037F530 vkGetSemaphoreCounterValue
        232   E7 0037F560 vkGetSemaphoreCounterValueKHR
        233   E8 0037F590 vkGetSemaphoreWin32HandleKHR
        234   E9 0037F5C0 vkGetSwapchainImagesKHR
        235   EA 0037F5F0 vkImportFenceWin32HandleKHR
        236   EB 0037F620 vkImportSemaphoreWin32HandleKHR
        237   EC 0037F650 vkInitializePerformanceApiINTEL
        238   ED 0037F680 vkInvalidateMappedMemoryRanges
        239   EE 0037F6B0 vkMapMemory
        240   EF 0037F6F0 vkMergePipelineCaches
        241   F0 0037F720 vkQueueBindSparse
        242   F1 0037F750 vkQueuePresentKHR
        243   F2 0037F780 vkQueueSetPerformanceConfigurationINTEL
        244   F3 0037F7B0 vkQueueSubmit
        245   F4 0037F7E0 vkQueueWaitIdle
        246   F5 0037F800 vkReleaseFullScreenExclusiveModeEXT
        247   F6 0037F830 vkReleasePerformanceConfigurationINTEL
        248   F7 0037F860 vkReleaseProfilingLockKHR
        249   F8 0037F880 vkResetCommandBuffer
        250   F9 0037F8B0 vkResetCommandPool
        251   FA 0037F8E0 vkResetDescriptorPool
        252   FB 0037F910 vkResetEvent
        253   FC 0037F940 vkResetFences
        254   FD 0037F970 vkResetQueryPool
        255   FE 0037F9A0 vkResetQueryPoolEXT
        256   FF 0037F9D0 vkSetEvent
        257  100 0037FA00 vkSignalSemaphore
        258  101 0037FA30 vkSignalSemaphoreKHR
        259  102 0037FA60 vkTrimCommandPool
        260  103 0037FA90 vkTrimCommandPoolKHR
        261  104 0037FAC0 vkUninitializePerformanceApiINTEL
        262  105 0037FAE0 vkUnmapMemory
        263  106 0037FB10 vkUpdateDescriptorSetWithTemplate
        264  107 0037FB50 vkUpdateDescriptorSetWithTemplateKHR
        265  108 0037FB90 vkUpdateDescriptorSets
        266  109 0037FBC0 vkWaitForFences
        267  10A 0037FBF0 vkWaitSemaphores
        268  10B 0037FC20 vkWaitSemaphoresKHR
        269  10C 0037C920 vk_icdGetInstanceProcAddr
        270  10D 0037C9F0 vk_icdGetPhysicalDeviceProcAddr
        271  10E 0037C940 vk_icdNegotiateLoaderICDInterfaceVersion

  Summary

       CC000 .data
       54000 .rdata
       9A000 .reloc
        1000 .rsrc
      72F000 .text
