
Dump of file C:\Windows\System32\nvcuda.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        160   9F 00206562 cuGraphAddEmptyNode
        161   A0 00206580 cuGraphAddEventRecordNode
        162   A1 00206592 cuGraphAddEventWaitNode
        163   A2 002065E0 cuGraphAddExternalSemaphoresSignalNode
        164   A3 002065F2 cuGraphAddExternalSemaphoresWaitNode
        165   A4 0020656E cuGraphAddHostNode
        166   A5 002064C0 cuGraphAddKernelNode
        167   A6 002064CC cuGraphAddMemcpyNode
        168   A7 002064D8 cuGraphAddMemsetNode
        169   A8 00206568 cuGraphChildGraphNodeGetGraph
        170   A9 00206550 cuGraphClone
        171   AA 002064BA cuGraphCreate
        172   AB 0020652C cuGraphDestroy
        173   AC 0020654A cuGraphDestroyNode
        174   AD 00206586 cuGraphEventRecordNodeGetEvent
        175   AE 0020658C cuGraphEventRecordNodeSetEvent
        176   AF 00206598 cuGraphEventWaitNodeGetEvent
        177   B0 0020659E cuGraphEventWaitNodeSetEvent
        178   B1 002065CE cuGraphExecChildGraphNodeSetParams
        179   B2 00206526 cuGraphExecDestroy
        180   B3 002065D4 cuGraphExecEventRecordNodeSetEvent
        181   B4 002065DA cuGraphExecEventWaitNodeSetEvent
        182   B5 00206604 cuGraphExecExternalSemaphoresSignalNodeSetParams
        183   B6 0020660A cuGraphExecExternalSemaphoresWaitNodeSetParams
        184   B7 002065C8 cuGraphExecHostNodeSetParams
        185   B8 002065B0 cuGraphExecKernelNodeSetParams
        186   B9 002065BC cuGraphExecMemcpyNodeSetParams
        187   BA 002065C2 cuGraphExecMemsetNodeSetParams
        188   BB 002065B6 cuGraphExecUpdate
        189   BC 002065E6 cuGraphExternalSemaphoresSignalNodeGetParams
        190   BD 002065EC cuGraphExternalSemaphoresSignalNodeSetParams
        191   BE 002065F8 cuGraphExternalSemaphoresWaitNodeGetParams
        192   BF 002065FE cuGraphExternalSemaphoresWaitNodeSetParams
        193   C0 002065AA cuGraphGetEdges
        194   C1 002065A4 cuGraphGetNodes
        195   C2 002064F0 cuGraphGetRootNodes
        196   C3 00206574 cuGraphHostNodeGetParams
