
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igdgmm32.dll

File Type: DLL

  Section contains the following exports for igdgmm32.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         287 number of functions
         287 number of names

    ordinal hint RVA      name

         82   51 00001F00 ?GetClientType@GmmClientContext@GmmLib@@UAG?AW4GMM_CLIENT_ENUM@@XZ
         83   52 00001F10 ?GetClientType@GmmResourceInfoCommon@GmmLib@@UAE?AW4GMM_CLIENT_ENUM@@XZ
         84   53 00001F20 ?GetColorSeparationArraySize@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         85   54 00001F40 ?GetColorSeparationPhysicalWidth@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         86   55 000E8960 ?GetCompressionBlockDepth@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         87   56 000E8920 ?GetCompressionBlockHeight@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         88   57 000E88E0 ?GetCompressionBlockWidth@GmmResourceInfoCommon@GmmLib@@UAGIXZ
         89   58 00001F80 ?GetCpuCacheType@GmmResourceInfoCommon@GmmLib@@UAG?AW4GMM_CPU_CACHE_TYPE_ENUM@@XZ
         90   59 00001FA0 ?GetD3d9Flags@GmmResourceInfoWin@GmmLib@@UAGAAU_D3DDDI_RESOURCEFLAGS@@XZ
         91   5A 00001FB0 ?GetD3d9Format@GmmResourceInfoWin@GmmLib@@UAG?AW4_D3DDDIFORMAT@@XZ
         92   5B 001118E0 ?GetD3dSwizzlePattern@GmmClientContext@GmmLib@@UAGXPBU_SWIZZLE_DESCRIPTOR@@EPAUD3D12DDI_SWIZZLE_PATTERN_DESC_0004@@@Z
         93   5C 00111850 ?GetD3dSwizzlePattern@GmmClientContext@GmmLib@@UAGXPBU_SWIZZLE_DESCRIPTOR@@EPAUD3D12DDI_SWIZZLE_PATTERN_DESC_0022@@@Z
         94   5D 00111730 ?GetD3dSwizzlePattern@GmmClientContext@GmmLib@@UAGXPBU_SWIZZLE_DESCRIPTOR@@EPAUD3DWDDM2_0DDI_SWIZZLE_PATTERN_DESC@@@Z
         95   5E 001117C0 ?GetD3dSwizzlePattern@GmmClientContext@GmmLib@@UAGXPBU_SWIZZLE_DESCRIPTOR@@EPAUD3DWDDM2_2DDI_SWIZZLE_PATTERN_DESC@@@Z
         96   5F 000E9D10 ?GetDisplayCompressionSupport@GmmResourceInfoCommon@GmmLib@@UAGEXZ
         97   60 000E9CA0 ?GetDisplayFastClearSupport@GmmResourceInfoCommon@GmmLib@@UAGEXZ
         98   61 0010EE10 ?GetExtendedTextureAlign@GmmClientContext@GmmLib@@UAGXIAAU__TEX_ALIGNMENT@@@Z
         99   62 000E8D70 ?GetFastClearHeight@GmmResourceInfoCommon@GmmLib@@UAGII@Z
        100   63 000E8C90 ?GetFastClearWidth@GmmResourceInfoCommon@GmmLib@@UAG_KI@Z
        101   64 00001FC0 ?GetFlatPhysCcsSize@GmmResourceInfoCommon@GmmLib@@UAG_KXZ
        102   65 00110AC0 ?GetGSCBuffer@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0PAPAXPAITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        103   66 00002020 ?GetGfxAddress@GmmResourceInfoCommon@GmmLib@@UAG_KXZ
        104   67 00002050 ?GetGmmClientContext@GmmResourceInfoCommon@GmmLib@@UAEPAVGmmClientContext@2@XZ
        105   68 00002060 ?GetGmmLibContext@GmmResourceInfoCommon@GmmLib@@UAEPAVContext@2@XZ
        106   69 00002070 ?GetHAlign@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        107   6A 000020D0 ?GetHAlignSurfaceState@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        108   6B 00111000 ?GetHeap32Base@GmmClientContext@GmmLib@@UAG_KTGMM_ESCAPE_HANDLE_REC@@0PAITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        109   6C 0010EF80 ?GetInternalGpuVaRangeLimit@GmmClientContext@GmmLib@@UAG_KXZ
        110   6D 000022D0 ?GetLibContext@GmmClientContext@GmmLib@@UAEPAVContext@2@XZ
        111   6E 000022E0 ?GetLibContext@GmmPageTableMgr@GmmLib@@AAEPAVContext@2@XZ
        112   6F 00111B00 ?GetLogicalTileShape@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@IPAI00@Z
        113   70 0010EF60 ?GetLosslessCompressionType@GmmClientContext@GmmLib@@UAG?AW4GMM_E2ECOMP_FORMAT_ENUM@@W4GMM_RESOURCE_FORMAT_ENUM@@@Z
        114   71 000E8A00 ?GetMOCS@GmmResourceInfoCommon@GmmLib@@UAG?ATMEMORY_OBJECT_CONTROL_STATE_REC@@XZ
        115   72 000E7E10 ?GetMappingSpanDesc@GmmResourceInfoCommon@GmmLib@@UAGEPAUGMM_GET_MAPPING_REC@@@Z
        116   73 00111B60 ?GetMaxGpuVirtualAddressBits@GmmClientContext@GmmLib@@UAGIPAVGmmResourceInfoWin@2@@Z
        117   74 00002300 ?GetMaxGpuVirtualAddressBits@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        118   75 00002330 ?GetMaxLod@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        119   76 00002340 ?GetMaximumRenamingListLength@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        120   77 0010EF30 ?GetMediaSurfaceStateCompressionFormat@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        121   78 000E8C40 ?GetMipDepth@GmmResourceInfoCommon@GmmLib@@UAGII@Z
        122   79 000E8BF0 ?GetMipHeight@GmmResourceInfoCommon@GmmLib@@UAGII@Z
        123   7A 00002350 ?GetMipTailStartLodSurfaceState@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        124   7B 000E8BA0 ?GetMipWidth@GmmResourceInfoCommon@GmmLib@@UAG_KI@Z
        125   7C 00002360 ?GetMmcHint@GmmResourceInfoCommon@GmmLib@@UAG?AW4GMM_RESOURCE_MMC_HINT_REC@@I@Z
        126   7D 00002380 ?GetMmcMode@GmmResourceInfoCommon@GmmLib@@UAG?AW4GMM_RESOURCE_MMC_INFO_REC@@I@Z
        127   7E 000023A0 ?GetMultiTileArch@GmmResourceInfoCommon@GmmLib@@UAEABUGMM_MULTI_TILE_ARCH_REC@@XZ
        128   7F 000023B0 ?GetNumSamples@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        129   80 000E60D0 ?GetOffset@GmmResourceInfoCommon@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@AAUGMM_REQ_OFFSET_INFO_REC@@@Z
        130   81 000EB220 ?GetOffsetFor64KBTiles@GmmResourceInfoWin@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@AAUGMM_REQ_OFFSET_INFO_REC@@@Z
        131   82 00110620 ?GetOverrideGfxPartition@GmmClientContext@GmmLib@@AAE?AU__GMM_GFX_PARTITIONING@@PAU3@TGMM_ESCAPE_HANDLE_REC@@1TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        132   83 000E87A0 ?GetPackedMipTailStartLod@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        133   84 000E5EE0 ?GetPaddedHeight@GmmResourceInfoCommon@GmmLib@@UAGII@Z
        134   85 000E5FC0 ?GetPaddedPitch@GmmResourceInfoCommon@GmmLib@@UAGII@Z
        135   86 000E5DD0 ?GetPaddedWidth@GmmResourceInfoCommon@GmmLib@@UAGII@Z
        136   87 000023C0 ?GetPlanarAuxOffset@GmmResourceInfoCommon@GmmLib@@UAG_KIW4GMM_UNIFIED_AUX_TYPE@@@Z
        137   88 00002510 ?GetPlanarXOffset@GmmResourceInfoCommon@GmmLib@@UAG_KW4GMM_YUV_PLANE_ENUM@@@Z
        138   89 00002530 ?GetPlanarYOffset@GmmResourceInfoCommon@GmmLib@@UAG_KW4GMM_YUV_PLANE_ENUM@@@Z
        139   8A 0010EDF0 ?GetPlatformInfo@GmmClientContext@GmmLib@@UAGAAU__GMM_PLATFORM_RESOURCE_REC@@XZ
        140   8B 000E5780 ?GetPlatformInfo@GmmResourceInfoCommon@GmmLib@@MAEABU__GMM_PLATFORM_RESOURCE_REC@@XZ
        141   8C 00002550 ?GetPrivateData@GmmResourceInfoCommon@GmmLib@@UAGPAXXZ
        142   8D 000E6010 ?GetQPitch@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        143   8E 00002560 ?GetQPitchInBytes@GmmResourceInfoCommon@GmmLib@@UAG_KXZ
        144   8F 00002580 ?GetQPitchPlanar@GmmResourceInfoCommon@GmmLib@@UAGIW4GMM_YUV_PLANE_ENUM@@@Z
        145   90 000025C0 ?GetRefreshRate@GmmResourceInfoWin@GmmLib@@UAG?AU_D3DDDI_RATIONAL@@XZ
        146   91 000025E0 ?GetRenderAuxPitchTiles@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        147   92 00002650 ?GetRenderPitch@GmmResourceInfoCommon@GmmLib@@UAG_KXZ
        148   93 000EB460 ?GetRenderPitchIn64KBTiles@GmmResourceInfoWin@GmmLib@@UAGIXZ
        149   94 00002670 ?GetRenderPitchTiles@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        150   95 00002730 ?GetResFlags@GmmResourceInfoCommon@GmmLib@@UAGAAUGMM_RESOURCE_FLAG_REC@@XZ
        151   96 00002740 ?GetResourceFormat@GmmResourceInfoCommon@GmmLib@@UAG?AW4GMM_RESOURCE_FORMAT_ENUM@@XZ
        152   97 000E8B60 ?GetResourceFormatSurfaceState@GmmResourceInfoCommon@GmmLib@@UAG?AW4GMM_SURFACESTATE_FORMAT_ENUM@@XZ
        153   98 00002750 ?GetResourceType@GmmResourceInfoCommon@GmmLib@@UAG?AW4GMM_RESOURCE_TYPE_ENUM@@XZ
        154   99 000EB160 ?GetRestrictions@GmmResourceInfoCommon@GmmLib@@UAGXAAU__GMM_BUFFER_TYPE_REC@@@Z
        155   9A 00002760 ?GetRotateInfo@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        156   9B 00111630 ?GetSLMaddressRange@GmmClientContext@GmmLib@@UAG_KTGMM_ESCAPE_HANDLE_REC@@0_KTGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        157   9C 00002770 ?GetSamplePattern@GmmResourceInfoCommon@GmmLib@@UAG?AW4GMM_MSAA_SAMPLE_PATTERN_REC@@XZ
        158   9D 00002780 ?GetSetCpSurfTag@GmmResourceInfoCommon@GmmLib@@UAGIEI@Z
        159   9E 001101B0 ?GetSetGfxPartitionProcessSingleton@GmmClientContext@GmmLib@@AAEXTGMM_ESCAPE_HANDLE_REC@@0PAU__GMM_GFX_PARTITIONING@@ETGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        160   9F 000027A0 ?GetSetHardwareProtection@GmmResourceInfoCommon@GmmLib@@UAGEEE@Z
        161   A0 000027A0 ?GetSetHardwareProtection@GmmResourceInfoWin@GmmLib@@UAGEEE@Z
        162   A1 00110000 ?GetSetProcessGfxPartition@GmmClientContext@GmmLib@@AAEITGMM_ESCAPE_HANDLE_REC@@0PAU__GMM_GFX_PARTITIONING@@ETGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        163   A2 000027E0 ?GetSize@GmmResourceInfoCommon@GmmLib@@UAG_KW4GMM_SIZE_PARAM@@@Z
        164   A3 00002910 ?GetSizeAllocation@GmmResourceInfoCommon@GmmLib@@UAG_KXZ
        165   A4 000029B0 ?GetSizeAuxSurface@GmmResourceInfoCommon@GmmLib@@UAG_KW4GMM_UNIFIED_AUX_TYPE@@@Z
        166   A5 00002AC0 ?GetSizeMainSurface@GmmResourceInfoCommon@GmmLib@@UBG_KXZ
        167   A6 00002AE0 ?GetSizeSurface@GmmResourceInfoCommon@GmmLib@@UAG_KXZ
        168   A7 0010EE00 ?GetSkuTable@GmmClientContext@GmmLib@@UAGABU_SKU_FEATURE_TABLE@@XZ
        169   A8 00002B50 ?GetStdLayoutSize@GmmResourceInfoCommon@GmmLib@@UAG_KXZ
        170   A9 000E8B10 ?GetStdTilingModeExtSurfaceState@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        171   AA 0010EF10 ?GetSurfaceStateCompressionFormat@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        172   AB 0010EEE0 ?GetSurfaceStateFormat@GmmClientContext@GmmLib@@UAG?AW4GMM_SURFACESTATE_FORMAT_ENUM@@W4GMM_RESOURCE_FORMAT_ENUM@@@Z
        173   AC 0010EC70 ?GetSurfaceStateL1CachePolicy@GmmClientContext@GmmLib@@UAGEW4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z
        174   AD 00002BC0 ?GetSystemMemPointer@GmmResourceInfoCommon@GmmLib@@UAGPAXE@Z
        175   AE 00002C00 ?GetSystemMemSize@GmmResourceInfoCommon@GmmLib@@UAG_KXZ
        176   AF 00108A60 ?GetTRL3TableAddr@GmmPageTableMgr@GmmLib@@UAE_KXZ
        177   B0 00002C20 ?GetTallBufferHeight@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        178   B1 00002C40 ?GetTextureLayout@GmmResourceInfoCommon@GmmLib@@UAG?AW4GMM_TEXTURE_LAYOUT_REC@@XZ
        179   B2 00002C50 ?GetTileAddressMappingModeSurfaceState@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        180   B3 00111B40 ?GetTileGfxAddress@GmmClientContext@GmmLib@@UAG_KPAVGmmResourceInfoWin@2@IIII@Z
        181   B4 00002C60 ?GetTileModeSurfaceState@GmmResourceInfoCommon@GmmLib@@IAEIPBUGMM_TEXTURE_INFO_REC@@@Z
        182   B5 00002CD0 ?GetTileModeSurfaceState@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        183   B6 00002CE0 ?GetTilePoolArray@GmmResourceInfoWin@GmmLib@@UAGPAXXZ
        184   B7 00111B20 ?GetTileShape@GmmClientContext@GmmLib@@UAG?AW4GMM_STATUS_ENUM@@PAVGmmResourceInfoWin@2@PAI11@Z
        185   B8 00002CF0 ?GetTileType@GmmResourceInfoCommon@GmmLib@@UAG?AW4GMM_TILE_TYPE_ENUM@@XZ
        186   B9 00002D40 ?GetTiledModeDepthStencilState@GmmResourceInfoCommon@GmmLib@@UAGIW4GMM_UNIFIED_AUX_TYPE@@@Z
        187   BA 00002DC0 ?GetTiledResourceGfxAddress@GmmResourceInfoWin@GmmLib@@UAG_KXZ
        188   BB 000E86E0 ?GetTiledResourceMipPacking@GmmResourceInfoCommon@GmmLib@@UAGXPAI0@Z
        189   BC 00002DE0 ?GetTiledResourceModeSurfaceState@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        190   BD 00111110 ?GetTrashPageGfxAddress@GmmClientContext@GmmLib@@UAG_KTGMM_ESCAPE_HANDLE_REC@@0TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        191   BE 00002E30 ?GetUnifiedAuxBitsPerPixel@GmmResourceInfoCommon@GmmLib@@UAGIXZ
        192   BF 00002E40 ?GetUnifiedAuxPitch@GmmResourceInfoCommon@GmmLib@@UAG_KXZ
        193   C0 00002E60 ?GetUnifiedAuxSurfaceOffset@GmmResourceInfoCommon@GmmLib@@UAG_KW4GMM_UNIFIED_AUX_TYPE@@@Z
