
Dump of file C:\Windows\System32\clusapi.dll

File Type: DLL

  Section contains the following exports for CLUSAPI.dll

    00000000 characteristics
    F7024D7C time date stamp
        0.00 version
           1 ordinal base
         290 number of functions
         290 number of names

    ordinal hint RVA      name

        170   A9 0000F4D0 ClusterUpgradeFunctionalLevel
        171   AA 0000F960 ClusterUpgradeFunctionalLevelEx
        172   AB 0001F540 CreateCluster
        173   AC 00066AE0 CreateClusterAvailabilitySet
        174   AD 00034DC0 CreateClusterGroup
        175   AE 00034DD0 CreateClusterGroupEx
        176   AF 00066030 CreateClusterGroupSet
        177   B0 00029A50 CreateClusterManagementPoint
        178   B1 0002AC50 CreateClusterNameAccount
        179   B2 000438D0 CreateClusterNotifyPort
        180   B3 00047820 CreateClusterNotifyPortV2
        181   B4 0004FC90 CreateClusterResource
        182   B5 00051050 CreateClusterResourceType
        183   B6 00050A90 CreateClusterResourceWithId
        184   B7 00036380 DeleteClusterGroup
        185   B8 00066710 DeleteClusterGroupSet
        186   B9 00050300 DeleteClusterResource
        187   BA 00051120 DeleteClusterResourceType
        188   BB 00025B50 DestroyCluster
        189   BC 000363E0 DestroyClusterGroup
        190   BD 0002E360 DetermineCNOResTypeFromCluster
        191   BE 0002E2F0 DetermineCNOResTypeFromNodelist
        192   BF 0002E230 DetermineClusterCloudTypeFromCluster
        193   C0 0002E170 DetermineClusterCloudTypeFromNodelist
        194   C1 000413A0 EvictClusterNode
        195   C2 000413C0 EvictClusterNodeEx
        196   C3 00050590 FailClusterResource
        197   C4 00064920 FreeClusFaultDomainInfo
        198   C5 000649C0 FreeClusFaultDomainInfoArray
        199   C6 00064A20 FreeClusFaultDomainXML
        200   C7 00062000 FreeClusStorageEnclosureInfo
        201   C8 00062100 FreeClusStorageEnclosureInfoArray
        202   C9 00036440 GetClusterFromGroup
        203   CA 00039640 GetClusterFromNetInterface
        204   CB 0003F1B0 GetClusterFromNetwork
        205   CC 000418A0 GetClusterFromNode
        206   CD 00051670 GetClusterFromResource
        207   CE 0004C000 GetClusterGroupKey
        208   CF 000356F0 GetClusterGroupState
        209   D0 0000A2D0 GetClusterInformation
        210   D1 0004BDB0 GetClusterKey
        211   D2 00039530 GetClusterNetInterface
        212   D3 0004C2F0 GetClusterNetInterfaceKey
        213   D4 000394B0 GetClusterNetInterfaceState
        214   D5 0003EDF0 GetClusterNetworkId
        215   D6 0004C200 GetClusterNetworkKey
        216   D7 0003ED10 GetClusterNetworkState
        217   D8 00040820 GetClusterNodeId
        218   D9 0004BF10 GetClusterNodeKey
        219   DA 00040900 GetClusterNodeState
        220   DB 00046EB0 GetClusterNotify
        221   DC 00047EB0 GetClusterNotifyV2
        222   DD 0000A570 GetClusterQuorumResource
        223   DE 00051750 GetClusterResourceDependencyExpression
        224   DF 0004C0F0 GetClusterResourceKey
        225   E0 00051500 GetClusterResourceNetworkName
        226   E1 00050340 GetClusterResourceState
        227   E2 0004C1E0 GetClusterResourceTypeKey
        228   E3 0000CB80 GetClusterSharedVolumeNameForFile
        229   E4 0002E3D0 GetNodeCloudTypeDW
        230   E5 00007D60 GetNodeClusterState
        231   E6 00047E00 GetNotifyEventHandle
        232   E7 000648F0 InitializeClusFaultDomainInfo
        233   E8 00061FE0 InitializeClusFaultDomainInfoArray
