
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvwgf2umx_cfg.dll

File Type: DLL

  Section contains the following exports for nvwgf2umx_cfg.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         268 number of functions
         268 number of names

    ordinal hint RVA      name

         94   5B 0104AB30 ?biasType@ConvolutionShader@cask@@QEBA?AV?$SafeEnum@UScalarType_ENUMCLASS_SCOPEWRAPPER@cask@@@2@XZ
         95   5C 0104A0D0 ?elementSize@TensorDesc@cask@@QEBA_KXZ
         96   5D 0104EF50 ?getConstantMemParamOffset@ConvolutionShader@cask@@QEBA_KXZ
         97   5E 00669A70 ?getDescription@Convolution@cask@@QEBAAEBUDescription@Operation@2@XZ
         98   5F 00669A70 ?getDescription@ConvolutionWeightGradient@cask@@QEBAAEBUDescription@Operation@2@XZ
         99   60 00669A70 ?getDescription@Gemm@cask@@QEBAAEBUDescription@Operation@2@XZ
        100   61 00669A70 ?getDescription@PoolingOperation@cask@@QEBAAEBUpoolingDescription@12@XZ
        101   62 01050AE0 ?getDescription@SoftmaxOperation@cask@@QEBA?BUsoftmaxDescription@12@XZ
        102   63 00669810 ?getDim@TensorDesc@cask@@QEBA_KH@Z
        103   64 01050390 ?getPoolingMode@PoolingOperation@cask@@QEBA?AW4poolingMode_t@12@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
        104   65 00209350 ?getSMidSize@GemmShader@cask@@UEAA_KAEAVRunInfo@2@@Z
        105   66 0104EFA0 ?getVersion@ConvolutionShader@cask@@QEBAHXZ
        106   67 0104FCD0 ?getVersion@GemmShader@cask@@QEBAHXZ
        107   68 006694A0 ?hasVectorization@TensorDesc@cask@@QEBA_NAEBU12@@Z
        108   69 00669470 ?hasVectorization@TensorDesc@cask@@QEBA_NHH@Z
        109   6A 0104ED50 ?isBTransposed@ConvolutionShader@cask@@QEBA_NXZ
        110   6B 0104ED70 ?isFilter1x1@ConvolutionShader@cask@@QEBA_NXZ
        111   6C 0104F7A0 ?isHmmaSp16832@GemmShader@cask@@QEBA_NXZ
        112   6D 0104F690 ?isImma16832@GemmShader@cask@@QEBA_NXZ
        113   6E 0104F580 ?isImma8816@GemmShader@cask@@QEBA_NXZ
        114   6F 0104F8C0 ?isImmaSp16864@GemmShader@cask@@QEBA_NXZ
        115   70 0104AAF0 ?isNchw@ConvolutionShader@cask@@QEBA_NXZ
        116   71 0104FF10 ?isNchw@WeightGradientShader@cask@@UEBA_NXZ
        117   72 0104AAD0 ?isNhwc@ConvolutionShader@cask@@QEBA_NXZ
        118   73 0104EB70 ?isNhwcOutput@ConvolutionShader@cask@@QEBA_NXZ
        119   74 0104FF30 ?isNhwcOutput@WeightGradientShader@cask@@UEBA_NXZ
        120   75 006694D0 ?isSimilar@TensorDesc@cask@@QEBA_NAEBU12@@Z
        121   76 0104F9E0 ?isSparse@GemmShader@cask@@QEBA_NXZ
        122   77 0104E5F0 ?isSparse@TensorDesc@cask@@QEAA_NXZ
        123   78 0104AB20 ?isSplitK@ConvolutionShader@cask@@QEBA_NXZ
        124   79 0104AB10 ?isStridedB@ConvolutionShader@cask@@QEBA_NXZ
        125   7A 0104FA00 ?outputLayout@GemmShader@cask@@QEBA?AV?$SafeEnum@UGemmLayout_ENUMCLASS_SCOPEWRAPPER@cask@@@2@XZ
        126   7B 0104DFD0 ?populateSMid@GemmShader@cask@@UEAA?AV?$SafeEnum@UErrorEnum@cask@@@2@AEAVRunInfo@2@PEAX_K@Z
        127   7C 00669AB0 ?setADesc@Convolution@cask@@QEAAXAEBUTensorDesc@2@@Z
        128   7D 00669AB0 ?setADesc@ConvolutionWeightGradient@cask@@QEAAXAEBUTensorDesc@2@@Z
        129   7E 00669AB0 ?setADesc@Gemm@cask@@QEAAXAEBUTensorDesc@2@@Z
        130   7F 00669A80 ?setAlpha@Convolution@cask@@QEAAXM@Z
        131   80 00669A80 ?setAlpha@ConvolutionWeightGradient@cask@@QEAAXM@Z
        132   81 00669A80 ?setAlpha@Gemm@cask@@QEAAXM@Z
        133   82 0104F360 ?setAlpha@Gemm@cask@@QEAAXN@Z
        134   83 0104F380 ?setAlpha@Gemm@cask@@QEAAXUdouble2@@@Z
        135   84 0104F370 ?setAlpha@Gemm@cask@@QEAAXUfloat2@@@Z
        136   85 010501C0 ?setAlpha@PoolingOperation@cask@@QEAAXM@Z
        137   86 01050B90 ?setAlpha@SoftmaxOperation@cask@@QEAAXM@Z
        138   87 0104F3C0 ?setAmDesc@Gemm@cask@@QEAAXAEBUTensorDesc@2@@Z
        139   88 00669B20 ?setBDesc@Gemm@cask@@QEAAXAEBUTensorDesc@2@@Z
        140   89 00669A90 ?setBeta@Convolution@cask@@QEAAXM@Z
        141   8A 00669A90 ?setBeta@ConvolutionWeightGradient@cask@@QEAAXM@Z
        142   8B 00669A90 ?setBeta@Gemm@cask@@QEAAXM@Z
        143   8C 0104F390 ?setBeta@Gemm@cask@@QEAAXN@Z
        144   8D 0104F3B0 ?setBeta@Gemm@cask@@QEAAXUdouble2@@@Z
        145   8E 0104F3A0 ?setBeta@Gemm@cask@@QEAAXUfloat2@@@Z
        146   8F 010501D0 ?setBeta@PoolingOperation@cask@@QEAAXM@Z
        147   90 01050BA0 ?setBeta@SoftmaxOperation@cask@@QEAAXM@Z
