
Dump of file C:\Windows\System32\MapControlCore.dll

File Type: DLL

  Section contains the following exports for MapControlCore.dll

    00000000 characteristics
    D8AEB8AE time date stamp
        0.00 version
           1 ordinal base
         250 number of functions
         250 number of names

    ordinal hint RVA      name

         96   5F 000096A0 ?GetBackingObjectRef@?$BackedType@VGeoCoordinates@ngeo@Microsoft@@@core@@QEBAAEBVGeoCoordinates@ngeo@Microsoft@@XZ
         97   60 000096A0 ?GetBackingObjectRef@?$BackedType@VGeoRect@ngeo@Microsoft@@@core@@IEAAAEAVGeoRect@ngeo@Microsoft@@XZ
         98   61 000096A0 ?GetBackingObjectRef@?$BackedType@VGeoRect@ngeo@Microsoft@@@core@@QEBAAEBVGeoRect@ngeo@Microsoft@@XZ
         99   62 000031B0 ?GetBingAuthenticationKey@MapsSettings@@SAJPEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        100   63 00015A20 ?GetBingMapsKey@MapsSettings@@SAJPEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        101   64 00014A90 ?GetBottom@GeoRect@core@@QEBANXZ
        102   65 00014AD0 ?GetBottomRight@GeoRect@core@@QEBAJPEAVGeoCoordinates@2@@Z
        103   66 00017F60 ?GetBoundingBox@Route@core@@UEBAJPEAVGeoRect@2@@Z
        104   67 000180C0 ?GetBoundingBox@RouteLeg@core@@UEBAJPEAVGeoRect@2@@Z
        105   68 00014B40 ?GetCenter@GeoRect@core@@QEBAJPEAVGeoCoordinates@2@@Z
        106   69 0000BD90 ?GetConnectivityType@RouterAdapterCore@@QEAAJPEAW4ConnectivityType@engine@@@Z
        107   6A 000181C0 ?GetContinueFreewayInstruction@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        108   6B 00018310 ?GetCurrentRoadName@RouteManeuver@core@@QEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        109   6C 00015AF0 ?GetDataAttribution@MapsSettings@@SAJPEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        110   6D 00015BF0 ?GetDefaultCenterFromTimezone@MapsSettings@@SAPEBVGeoCoordinates@core@@XZ
        111   6E 00018440 ?GetDistanceInMetersFromPreviousManeuver@RouteManeuver@core@@QEBAKXZ
        112   6F 00018470 ?GetDistanceInMetersToNextManeuver@RouteManeuver@core@@QEBAKXZ
        113   70 000184A0 ?GetDurationInSeconds@Route@core@@UEBAKXZ
        114   71 00018590 ?GetDurationInSeconds@RouteLeg@core@@UEBAKXZ
        115   72 0000D190 ?GetDurationWithoutTrafficInSeconds@Route@core@@UEBAKXZ
        116   73 0000D280 ?GetDurationWithoutTrafficInSeconds@RouteLeg@core@@UEBAKXZ
        117   74 00015CE0 ?GetEnableManeuverCondensing@MapsSettings@@SA_NXZ
        118   75 000186B0 ?GetEndInstruction@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        119   76 000186C0 ?GetEnterFreewayInstruction@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        120   77 00016D60 ?GetErrorCode@OperationAdapterCore@@QEBAJXZ
        121   78 00018A30 ?GetFreewayExitNumber@RouteManeuver@core@@QEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        122   79 00016D70 ?GetGenerationNumber@?$UIThreadCore@UIRouterUI@@@@UEBAJXZ
        123   7A 00018AB0 ?GetGeometryCoordinates@Route@core@@UEBAJKPEAVGeoCoordinates@2@@Z
        124   7B 00018C60 ?GetGeometryCoordinates@RouteLeg@core@@UEBAJKPEAVGeoCoordinates@2@@Z
        125   7C 00018D90 ?GetGeometryCoordinatesCount@Route@core@@UEBAKXZ
        126   7D 00018E80 ?GetGeometryCoordinatesCount@RouteLeg@core@@UEBAKXZ
        127   7E 00018F30 ?GetGoStraightInstruction@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        128   7F 00018F50 ?GetHeading@RouteManeuver@core@@QEBA?AW4CompassHeading@2@XZ
        129   80 00014BD0 ?GetInflatedGeoRect@GeoRect@core@@QEBA?AV12@XZ
        130   81 00016D70 ?GetInstanceId@OperationAdapterCore@@QEBAHXZ
        131   82 00019000 ?GetInstructionText@RouteManeuver@core@@QEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        132   83 00019080 ?GetInstructionTextFromBacking@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@0@Z
        133   84 000191B0 ?GetInstructionWithTarget@RouteManeuver@core@@AEBAJKAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        134   85 00019220 ?GetInstructionWithTargetAndReplacement@RouteManeuver@core@@AEBAJKAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@0@Z
        135   86 00015CF0 ?GetKeyValidationStatus@MapsSettings@@SAJPEAH@Z
        136   87 00014C80 ?GetLatitude@GeoCoordinates@core@@UEBANXZ
        137   88 00019300 ?GetLeaveFreewayInstruction@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@0@Z
        138   89 00014CB0 ?GetLeft@GeoRect@core@@QEBANXZ
        139   8A 00019910 ?GetLeg@Route@core@@UEBAJKPEAVRouteLeg@2@@Z
        140   8B 00016E30 ?GetLegCount@Route@core@@UEBAKXZ
        141   8C 00019A80 ?GetLengthInMeters@Route@core@@UEBAKXZ
        142   8D 00019B70 ?GetLengthInMeters@RouteLeg@core@@UEBAKXZ
        143   8E 00009E80 ?GetLimitNetworkUsage@MapsSettings@@SAJPEA_N@Z
        144   8F 00015D60 ?GetLocaleMapConfiguration@MapsSettings@@SAJPEAPEAUILocaleMapConfiguration@@@Z
        145   90 00014CF0 ?GetLongitude@GeoCoordinates@core@@UEBANXZ
        146   91 00019C90 ?GetManeuver@RouteLeg@core@@UEBAJKPEAVRouteManeuver@2@@Z
        147   92 00019E80 ?GetManeuverCount@RouteLeg@core@@UEBAKXZ
        148   93 00019F20 ?GetManeuverNotice@RouteManeuver@core@@QEBAJPEAH@Z
        149   94 0001A0E0 ?GetManeuverType@RouteManeuver@core@@QEBA?AW4RouteManeuverType@2@XZ
        150   95 0000D670 ?GetManeuverWarningCount@RouteManeuver@core@@QEBAKXZ
