
Dump of file C:\Windows\System32\oleaut32.dll

File Type: DLL

  Section contains the following exports for OLEAUT32.dll

         59  11B 0005CB90 VarI4FromI2
        348  11C 0005CC10 VarI4FromI8
         60  11D 0005CC40 VarI4FromR4
         61  11E 00001600 VarI4FromR8
         64  11F 00019A90 VarI4FromStr
         58  120 0005CC50 VarI4FromUI1
        210  121 0005CC60 VarI4FromUI2
        211  122 0005CC70 VarI4FromUI4
        349  123 0005CC90 VarI4FromUI8
        341  124 0005CCB0 VarI8FromBool
        337  125 0006A4F0 VarI8FromCy
        338  126 0005CCD0 VarI8FromDate
        345  127 00066890 VarI8FromDec
        340  128 0005CCE0 VarI8FromDisp
        342  129 0005CD30 VarI8FromI1
        334  12A 0005CCB0 VarI8FromI2
        335  12B 0005CD50 VarI8FromR4
        336  12C 0005CD60 VarI8FromR8
        339  12D 0005CDA0 VarI8FromStr
        333  12E 0005CEF0 VarI8FromUI1
        343  12F 0005CF00 VarI8FromUI2
        344  130 0005CF10 VarI8FromUI4
        427  131 0005CF20 VarI8FromUI8
        153  132 00058380 VarIdiv
        154  133 00058540 VarImp
        172  134 00054FA0 VarInt
        155  135 00058630 VarMod
        129  136 0006E090 VarMonthName
        156  137 00056AC0 VarMul
        173  138 00055180 VarNeg
        174  139 000587C0 VarNot
         47  13A 0001A340 VarNumFromParseNum
        157  13B 00058860 VarOr
         46  13C 00019B70 VarParseNumFromStr
        158  13D 000573B0 VarPow
        316  13E 00058DD0 VarR4CmpR8
         76  13F 0005CF50 VarR4FromBool
         72  140 0006A460 VarR4FromCy
         73  141 0005CF70 VarR4FromDate
        216  142 00066930 VarR4FromDec
         75  143 0005CF80 VarR4FromDisp
        213  144 0005CFE0 VarR4FromI1
         69  145 0005CF50 VarR4FromI2
         70  146 0005D000 VarR4FromI4
        360  147 0005D020 VarR4FromI8
         71  148 00003A10 VarR4FromR8
         74  149 00002660 VarR4FromStr
         68  14A 0005D040 VarR4FromUI1
        214  14B 0005D060 VarR4FromUI2
        215  14C 0005D080 VarR4FromUI4
        361  14D 0005D0A0 VarR4FromUI8
         86  14E 0005C440 VarR8FromBool
         82  14F 0006A490 VarR8FromCy
         83  150 0005D0E0 VarR8FromDate
        220  151 0001B880 VarR8FromDec
         85  152 0005D0F0 VarR8FromDisp
        217  153 0005D150 VarR8FromI1
         79  154 0005C440 VarR8FromI2
         80  155 0005D170 VarR8FromI4
        362  156 0005D190 VarR8FromI8
         81  157 0005D1B0 VarR8FromR4
         84  158 00019A00 VarR8FromStr
         78  159 0005C620 VarR8FromUI1
        218  15A 0005D1D0 VarR8FromUI2
        219  15B 0005D1F0 VarR8FromUI4
        363  15C 0005D210 VarR8FromUI8
        315  15D 00057520 VarR8Pow
        317  15E 00055420 VarR8Round
        175  15F 00055510 VarRound
        159  160 00057600 VarSub
        140  161 0006E160 VarTokenizeFormatString
        138  162 0005C720 VarUI1FromBool
        134  163 0005D250 VarUI1FromCy
        135  164 0005D290 VarUI1FromDate
        240  165 00066980 VarUI1FromDec
        137  166 0005D2A0 VarUI1FromDisp
        237  167 0005D2F0 VarUI1FromI1
        130  168 0005D310 VarUI1FromI2
        131  169 0005D330 VarUI1FromI4
        372  16A 0005D350 VarUI1FromI8
        132  16B 0005D370 VarUI1FromR4
        133  16C 0005D380 VarUI1FromR8
        136  16D 0005D3C0 VarUI1FromStr
        238  16E 0005D310 VarUI1FromUI2
        239  16F 0005D330 VarUI1FromUI4
        373  170 0005D350 VarUI1FromUI8
        266  171 0005C960 VarUI2FromBool
        263  172 0005D400 VarUI2FromCy
        262  173 0005D440 VarUI2FromDate
        269  174 00066A00 VarUI2FromDec
        265  175 0005D450 VarUI2FromDisp
        267  176 0005D4A0 VarUI2FromI1
        258  177 0005D4C0 VarUI2FromI2
        259  178 0005D4E0 VarUI2FromI4
        378  179 0005D500 VarUI2FromI8
        260  17A 0005D520 VarUI2FromR4
        261  17B 0005D530 VarUI2FromR8
        264  17C 0005D570 VarUI2FromStr
        257  17D 0005CB20 VarUI2FromUI1
        268  17E 0005D4E0 VarUI2FromUI4
        379  17F 0005D500 VarUI2FromUI8
        279  180 0005CB90 VarUI4FromBool
        276  181 0005D5B0 VarUI4FromCy
        275  182 0005D5D0 VarUI4FromDate
        282  183 00002320 VarUI4FromDec
        278  184 0005D5E0 VarUI4FromDisp
        280  185 0005D630 VarUI4FromI1
        271  186 0005D650 VarUI4FromI2
        272  187 0005D670 VarUI4FromI4
        425  188 0005D690 VarUI4FromI8
        273  189 0005D6B0 VarUI4FromR4
        274  18A 0005D6C0 VarUI4FromR8
        277  18B 0005D700 VarUI4FromStr
        270  18C 0005CC50 VarUI4FromUI1
        281  18D 0005CC60 VarUI4FromUI2
        426  18E 0005D690 VarUI4FromUI8
        437  18F 0005CCB0 VarUI8FromBool
        433  190 0005D790 VarUI8FromCy
        434  191 0005D7B0 VarUI8FromDate
        441  192 00066A80 VarUI8FromDec
        436  193 0005D7C0 VarUI8FromDisp
        438  194 0005D810 VarUI8FromI1
        430  195 0005D830 VarUI8FromI2
        428  196 0005D850 VarUI8FromI8
        431  197 0005D870 VarUI8FromR4
        432  198 0005D880 VarUI8FromR8
        435  199 0005D8C0 VarUI8FromStr
        429  19A 0005CEF0 VarUI8FromUI1
        439  19B 0005CF00 VarUI8FromUI2
        440  19C 0005CF10 VarUI8FromUI4
        331  19D 0001AC70 VarUdateFromDate
        128  19E 0006E3F0 VarWeekdayName
        167  19F 00058A00 VarXor
         12  1A0 00011380 VariantChangeType
        147  1A1 000113B0 VariantChangeTypeEx
          9  1A2 00094FC0 VariantClear
         10  1A3 00094DB0 VariantCopy
         11  1A4 00094D00 VariantCopyInd
          8  1A5 00094CE0 VariantInit
         13  1A6 0005F560 VariantTimeToDosDateTime
        185  1A7 0001ABF0 VariantTimeToSystemTime
        413  1A8 0005D950 VectorFromBstr
        501      00033550 [NONAME]
        502      00034EA0 [NONAME]

  Summary

        3000 .data
        1000 .didat
        9000 .pdata
       26000 .rdata
        3000 .reloc
        1000 .rsrc
       95000 .text
