
Dump of file C:\Windows\System32\dmdskmgr.dll

File Type: DLL

  Section contains the following exports for DMDskMgr.dll

    00000000 characteristics
    83EA7E34 time date stamp
        0.00 version
           1 ordinal base
         233 number of functions
         233 number of names

    ordinal hint RVA      name

         77   4C 00027E00 ?GetDiskCookiesWithFreeSpace@CTaskData@@QEAAXAEAKPEAPEA_J@Z
         78   4D 000081E0 ?GetDiskCount@CDataCache@@QEAAKXZ
         79   4E 0001D390 ?GetDiskInfo@CDMNodeObj@@QEAAHAEAUdiskinfoex@@@Z
         80   4F 00027ED0 ?GetDiskInfoFromVolCookie@CTaskData@@QEAAX_JAEAHAEAKPEAPEA_JKH@Z
         81   50 0001D440 ?GetDiskSpec@CDMNodeObj@@QEAAHAEAUdiskspec@@@Z
         82   51 0001D480 ?GetDiskStatus@CDMNodeObj@@QEAAHAEAVCString@@@Z
         83   52 0001D720 ?GetDiskTypeName@CDMNodeObj@@QEAAXAEAVCString@@@Z
         84   53 0001D940 ?GetDriveLetter@CDMNodeObj@@QEAAXAEAG@Z
         85   54 00012950 ?GetDriveLetters@CDataCache@@IEAAXAEAFPEAPEAGG@Z
         86   55 00028070 ?GetDriveLetters@CTaskData@@QEAAXAEAFPEAPEAGG@Z
         87   56 0001DAA0 ?GetExtendedRegionColor@CDMNodeObj@@QEAAKXZ
         88   57 0001DB00 ?GetExtraRegionStatus@CDMNodeObj@@QEAAHAEAVCString@@H@Z
         89   58 0001E420 ?GetFileSystemLabel@CDMNodeObj@@QEAAXAEAVCString@@@Z
         90   59 0001E520 ?GetFileSystemName@CDMNodeObj@@QEAAXAEAVCString@@@Z
         91   5A 0001E720 ?GetFileSystemSize@CDMNodeObj@@QEAAXAEAJ@Z
         92   5B 0001E810 ?GetFileSystemType@CDMNodeObj@@QEAAHXZ
         93   5C 00012A70 ?GetFileSystemTypes@CDataCache@@QEAAXAEAKPEAPEAUifilesysteminfo@@@Z
         94   5D 00028090 ?GetFileSystemTypes@CTaskData@@QEAAXAEAKPEAPEAUifilesysteminfo@@@Z
         95   5E 0001E880 ?GetFlags@CDMNodeObj@@QEAAJXZ
         96   5F 0001E8B0 ?GetIVolumeClientVersion@CDMNodeObj@@QEAAFXZ
