
Dump of file C:\Windows\System32\ucrtbased.dll

File Type: DLL

  Section contains the following exports for ucrtbased.dll

    00000000 characteristics
    B8B20920 time date stamp
        0.00 version
           1 ordinal base
        2547 number of functions
        2547 number of names

    ordinal hint RVA      name

        252   FB 000F7A70 _d_int
        253   FC 000EA880 _dclass
        254   FD 000DD8F0 _dexp
        255   FE 00113DB0 _difftime32
        256   FF 00113DE0 _difftime64
        257  100 000E92E0 _dlog
        258  101 000F6730 _dnorm
        259  102 000EA8A0 _dpcomp
        260  103 000DC310 _dpoly
        261  104 000F6D70 _dscale
        262  105 000EA920 _dsign
        263  106 000E5610 _dsin
        264  107 000F7DB0 _dtest
        265  108 000F82B0 _dunscale
        266  109 00105330 _dup
        267  10A 00105850 _dup2
        268  10B 00019B00 _dupenv_s
        269  10C 00019B60 _dupenv_s_dbg
        270  10D 000443A0 _ecvt
        271  10E 00044440 _ecvt_s
        272  10F 00075480 _endthread
        273  110 000754A0 _endthreadex
        274  111 00105D90 _eof
        275  112 0006A550 _errno
        276  113 000E38B0 _except1
        277  114 0001DBE0 _execl
        278  115 0001DC20 _execle
        279  116 0001E0D0 _execlp
        280  117 0001E110 _execlpe
        281  118 00074AD0 _execute_onexit_table
        282  119 0001E830 _execv
        283  11A 0001E850 _execve
        284  11B 0001F8D0 _execvp
        285  11C 0001F8F0 _execvpe
        286  11D 000740F0 _exit
        287  11E 00054ED0 _expand
        288  11F 00054830 _expand_dbg
        289  120 00075880 _fclose_nolock
        290  121 00075730 _fcloseall
        291  122 000448B0 _fcvt
        292  123 000449D0 _fcvt_s
        293  124 000F7F00 _fd_int
        294  125 000EA960 _fdclass
        295  126 000DDF40 _fdexp
        296  127 000E96D0 _fdlog
        297  128 000F6B10 _fdnorm
        298  129 00077C90 _fdopen
        299  12A 000EA980 _fdpcomp
        300  12B 000DC700 _fdpoly
        301  12C 000F7460 _fdscale
        302  12D 000EAA00 _fdsign
        303  12E 000E6550 _fdsin
        304  12F 000F8140 _fdtest
        305  130 000F8400 _fdunscale
        306  131 00078720 _fflush_nolock
        307  132 00078860 _fgetc_nolock
        308  133 000789C0 _fgetchar
        309  134 000797A0 _fgetwc_nolock
        310  135 00079B60 _fgetwchar
        311  136 00106670 _filelength
        312  137 00106690 _filelengthi64
        313  138 00079D00 _fileno
        314  139 000FB320 _findclose
        315  13A 000FB360 _findfirst32
        316  13B 000FB390 _findfirst32i64
        317  13C 000FB3C0 _findfirst64
        318  13D 000FB3F0 _findfirst64i32
        319  13E 000FB420 _findnext32
        320  13F 000FB450 _findnext32i64
        321  140 000FB480 _findnext64
        322  141 000FB4B0 _findnext64i32
        323  142 00129490 _finite
        324  143 001294E0 _finitef
        325  144 000787B0 _flushall
        326  145 001302D0 _fpclass
        327  146 001304A0 _fpclassf
        328  147 00129990 _fpieee_flt
        329  148 0012FFB0 _fpreset
        330  149 0007A760 _fputc_nolock
        331  14A 0007A820 _fputchar
        332  14B 0007B140 _fputwc_nolock
        333  14C 0007B3B0 _fputwchar
        334  14D 0007B860 _fread_nolock
        335  14E 0007B8B0 _fread_nolock_s
        336  14F 00055100 _free_base
        337  150 00054970 _free_dbg
        338  151 000631B0 _free_locale
        339  152 0007D300 _fseek_nolock
        340  153 0007D350 _fseeki64
        341  154 0007D390 _fseeki64_nolock
        342  155 0007A600 _fsopen
        343  156 001036F0 _fstat32
        344  157 00103720 _fstat32i64
        345  158 00103750 _fstat64
        346  159 00103780 _fstat64i32
        347  15A 0007E450 _ftell_nolock
        348  15B 0007E480 _ftelli64
        349  15C 0007E4B0 _ftelli64_nolock
        350  15D 00114290 _ftime32
        351  15E 001142B0 _ftime32_s
        352  15F 001142D0 _ftime64
        353  160 001142F0 _ftime64_s
        354  161 000FBAA0 _fullpath
        355  162 000FBAF0 _fullpath_dbg
        356  163 0011C300 _futime32
        357  164 0011C330 _futime64
        358  165 0007E670 _fwrite_nolock
        359  166 00044E30 _gcvt
        360  167 00044E80 _gcvt_s
        361  168 000E0DE0 _get_FMA3_enable
        362  169 000632B0 _get_current_locale
        363  16A 00119AB0 _get_daylight
        364  16B 0006A590 _get_doserrno
        365  16C 00119B80 _get_dstbias
        366  16D 0006A650 _get_errno
        367  16E 0010DE90 _get_fmode
        368  16F 000553F0 _get_heap_handle
        369  170 00019260 _get_initial_narrow_environment
        370  171 000192C0 _get_initial_wide_environment
        371  172 0006ADD0 _get_invalid_parameter_handler
        372  173 00070F80 _get_narrow_winmain_command_line
        373  174 0010BB20 _get_osfhandle
        374  175 0006D990 _get_pgmptr
        375  176 000B1FB0 _get_printf_count_output
        376  177 00151EA0 _get_purecall_handler
        377  178 000B85A0 _get_stream_buffer_pointers
        378  179 0006C7F0 _get_terminate
        379  17A 0006AE00 _get_thread_local_invalid_parameter_handler
        380  17B 00119C50 _get_timezone
        381  17C 00119D20 _get_tzname
        382  17D 00151F90 _get_unexpected
        383  17E 00070FA0 _get_wide_winmain_command_line
        384  17F 0006DB10 _get_wpgmptr
        385  180 000789E0 _getc_nolock
        386  181 00016830 _getch
        387  182 00016890 _getch_nolock
        388  183 00016860 _getche
        389  184 00016A20 _getche_nolock
        390  185 00028900 _getcwd
        391  186 000289C0 _getcwd_dbg
        392  187 00028960 _getdcwd
        393  188 00028A20 _getdcwd_dbg
        394  189 000286A0 _getdiskfree
        395  18A 0001DB70 _getdllprocaddr
        396  18B 00028480 _getdrive
        397  18C 00028690 _getdrives
        398  18D 000B2F30 _getmaxstdio
        399  18E 00066230 _getmbcp
        400  18F 0006AAF0 _getpid
        401  190 00029AB0 _getsystime
        402  191 0007FBC0 _getw
        403  192 00079B80 _getwc_nolock
        404  193 00016F60 _getwch
        405  194 00016FE0 _getwch_nolock
        406  195 00016FA0 _getwche
        407  196 000170D0 _getwche_nolock
        408  197 0007F9F0 _getws
        409  198 0007FA20 _getws_s
        410  199 00114D50 _gmtime32
        411  19A 00114D70 _gmtime32_s
        412  19B 00114DA0 _gmtime64
        413  19C 00114DC0 _gmtime64_s
        414  19D 00020640 _heapchk
        415  19E 00020670 _heapmin
        416  19F 000551C0 _heapwalk
        417  1A0 001262E0 _hypot
        418  1A1 001267F0 _hypotf
        419  1A2 0004E900 _i64toa
        420  1A3 0004E970 _i64toa_s
        421  1A4 0004E9E0 _i64tow
        422  1A5 0004EA50 _i64tow_s
        423  1A6 000191D0 _initialize_narrow_environment
        424  1A7 00074B10 _initialize_onexit_table
        425  1A8 000191E0 _initialize_wide_environment
        426  1A9 00074240 _initterm
        427  1AA 000742B0 _initterm_e
        428  1AB 0006AE40 _invalid_parameter
        429  1AC 0006AF50 _invalid_parameter_noinfo
        430  1AD 0006AF80 _invalid_parameter_noinfo_noreturn
        431  1AE 0006AFC0 _invoke_watson
        432  1AF 0013D810 _is_exception_typeof
        433  1B0 0004F130 _isalnum_l
        434  1B1 0004F160 _isalpha_l
        435  1B2 00106B20 _isatty
        436  1B3 0004F190 _isblank_l
        437  1B4 0004F1C0 _iscntrl_l
        438  1B5 000455C0 _isctype
        439  1B6 00045610 _isctype_l
        440  1B7 0004F1F0 _isdigit_l
        441  1B8 0004F220 _isgraph_l
        442  1B9 000500F0 _isleadbyte_l
        443  1BA 0004F250 _islower_l
        444  1BB 00020930 _ismbbalnum
        445  1BC 00020910 _ismbbalnum_l
        446  1BD 00020970 _ismbbalpha
        447  1BE 00020950 _ismbbalpha_l
        448  1BF 00020A80 _ismbbblank
        449  1C0 00020A50 _ismbbblank_l
        450  1C1 000209B0 _ismbbgraph
        451  1C2 00020990 _ismbbgraph_l
        452  1C3 00020870 _ismbbkalnum
        453  1C4 00020850 _ismbbkalnum_l
        454  1C5 00020BA0 _ismbbkana
        455  1C6 00020B30 _ismbbkana_l
        456  1C7 000208B0 _ismbbkprint
        457  1C8 00020890 _ismbbkprint_l
        458  1C9 000208F0 _ismbbkpunct
        459  1CA 000208D0 _ismbbkpunct_l
        460  1CB 00020AD0 _ismbblead
        461  1CC 00020AB0 _ismbblead_l
        462  1CD 000209F0 _ismbbprint
        463  1CE 000209D0 _ismbbprint_l
        464  1CF 00020A30 _ismbbpunct
        465  1D0 00020A10 _ismbbpunct_l
        466  1D1 00020B10 _ismbbtrail
        467  1D2 00020AF0 _ismbbtrail_l
        468  1D3 000207B0 _ismbcalnum
