
Dump of file C:\Windows\System32\dnsapi.dll

File Type: DLL

  Section contains the following exports for DNSAPI.dll

    00000000 characteristics
    F033F114 time date stamp
        0.00 version
           1 ordinal base
         289 number of functions
         289 number of names

    ordinal hint RVA      name

        171   AA 00021BE0 DnsTraceServerConfig
        172   AB 0004F400 DnsUnicodeToUtf8
        173   AC 00066830 DnsUpdate
        174   AD 000279B0 DnsUpdateMachinePresence
        175   AE 0005C450 DnsUpdateTest_A
        176   AF 0005C500 DnsUpdateTest_UTF8
        177   B0 0005C5B0 DnsUpdateTest_W
        178   B1 0004F410 DnsUtf8ToUnicode
        179   B2 00051A40 DnsValidateNameOrIp_TempW
        180   B3 0004F450 DnsValidateName_A
        181   B4 0004F4F0 DnsValidateName_UTF8
        182   B5 0002A650 DnsValidateName_W
        183   B6 0005E560 DnsValidateServerArray_A
        184   B7 0005E640 DnsValidateServerArray_W
        185   B8 0005E6B0 DnsValidateServerStatus
        186   B9 0005E760 DnsValidateServer_A
        187   BA 0005E840 DnsValidateServer_W
        188   BB 0004F5A0 DnsValidateUtf8Byte
        189   BC 000560D0 DnsWriteQuestionToBuffer_UTF8
        190   BD 000561C0 DnsWriteQuestionToBuffer_W
        191   BE 0004F5B0 DnsWriteReverseNameStringForIpAddress
        192   BF 00028A10 Dns_AddRecordsToMessage
        193   C0 00029400 Dns_AllocateMsgBuf
        194   C1 0000FA40 Dns_BuildPacket
        195   C2 0004DD40 Dns_CacheServiceCleanup
        196   C3 0002D4C0 Dns_CacheServiceInit
        197   C4 0004DD80 Dns_CacheServiceStopIssued
        198   C5 00066820 Dns_CleanupWinsock
        199   C6 0004F5C0 Dns_CloseConnection
        200   C7 0004F5D0 Dns_CloseSocket
        201   C8 00066840 Dns_CreateMulticastSocket
        202   C9 0004F5E0 Dns_CreateSocket
        203   CA 0004F610 Dns_CreateSocketEx
        204   CB 00012AA0 Dns_ExtractRecordsFromMessage
        205   CC 00066850 Dns_FindAuthoritativeZoneLib
        206   CD 00005A60 Dns_FreeMsgBuf
        207   CE 000565C0 Dns_GetRandomXid
        208   CF 000106E0 Dns_InitializeMsgBuf
        209   D0 00057960 Dns_InitializeMsgRemoteSockaddr
        210   D1 00066850 Dns_InitializeWinsock
        211   D2 000579B0 Dns_OpenTcpConnectionAndSend
        212   D3 00013570 Dns_ParseMessage
        213   D4 000566D0 Dns_ParsePacketRecord
        214   D5 00066860 Dns_PingAdapterServers
        215   D6 00013C30 Dns_ReadPacketName
        216   D7 00056740 Dns_ReadPacketNameAllocate
        217   D8 00056840 Dns_ReadRecordStructureFromPacket
        218   D9 00057A00 Dns_RecvTcp
        219   DA 00051C10 Dns_ResetNetworkInfo
