
Dump of file C:\Windows\System32\libomp140.x86_64.dll

File Type: DLL

  Section contains the following exports for libomp140.x86_64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
         100 ordinal base
        2408 number of functions
         690 number of names

    ordinal hint RVA      name

       2329  132 00002004 __kmpc_atomic_fixed4_shr_cpt
       2442  133 00001E6A __kmpc_atomic_fixed4_shr_cpt_rev
       2486  134 00003611 __kmpc_atomic_fixed4_shr_rev
       2024  135 00002A72 __kmpc_atomic_fixed4_sub
       2316  136 0000371A __kmpc_atomic_fixed4_sub_cpt
       2438  137 00002207 __kmpc_atomic_fixed4_sub_cpt_rev
       2482  138 00005A1A __kmpc_atomic_fixed4_sub_rev
       2414  139 0000567D __kmpc_atomic_fixed4_swp
       2281  13A 00003B7A __kmpc_atomic_fixed4_wr
       2039  13B 00001CC6 __kmpc_atomic_fixed4_xor
       2331  13C 0000550B __kmpc_atomic_fixed4_xor_cpt
       2033  13D 0000306C __kmpc_atomic_fixed4u_div
       2325  13E 00002CF7 __kmpc_atomic_fixed4u_div_cpt
       2440  13F 000025B8 __kmpc_atomic_fixed4u_div_cpt_rev
       2484  140 00002F6D __kmpc_atomic_fixed4u_div_rev
       2038  141 0000489F __kmpc_atomic_fixed4u_shr
       2330  142 00001F7D __kmpc_atomic_fixed4u_shr_cpt
       2443  143 00004697 __kmpc_atomic_fixed4u_shr_cpt_rev
       2487  144 00002289 __kmpc_atomic_fixed4u_shr_rev
        103  145 00002DB0 __kmpc_atomic_fixed8_add
       2319  146 000044DA __kmpc_atomic_fixed8_add_cpt
       2040  147 00005006 __kmpc_atomic_fixed8_andb
       2332  148 0000390E __kmpc_atomic_fixed8_andb_cpt
       2059  149 0000184D __kmpc_atomic_fixed8_andl
       2351  14A 00001447 __kmpc_atomic_fixed8_andl_cpt
       2041  14B 000051AF __kmpc_atomic_fixed8_div
       2333  14C 00002F27 __kmpc_atomic_fixed8_div_cpt
       2445  14D 00002725 __kmpc_atomic_fixed8_div_cpt_rev
       2185  14E 00004A66 __kmpc_atomic_fixed8_div_float8
       2489  14F 00002298 __kmpc_atomic_fixed8_div_rev
       2080  150 0000388C __kmpc_atomic_fixed8_eqv
