
Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    7D6DD8B0 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         477 number of names

    ordinal hint RVA      name

        419   F5 002A9C10 SHELL32_GetFileNameFromBrowse
        420   F6 000BFD60 SHELL32_GetIconOverlayManager
        421   F7 002A9C20 SHELL32_GetLinkInfoData
        422   F8 002A9C40 SHELL32_GetRatingBucket
        423   F9 002A9C70 SHELL32_GetSqmableFileName
        424   FA 002A9C80 SHELL32_GetThumbnailAdornerFromFactory
        425   FB 00008290 SHELL32_GetThumbnailAdornerFromFactory2
        426   FC 002A9C90 SHELL32_HandleUnrecognizedFileSystem
        427   FD 00041210 SHELL32_IconCacheCreate
        428   FE 0008EBB0 SHELL32_IconCacheDestroy
        429   FF 002A9CA0 SHELL32_IconCacheHandleAssociationChanged
        430  100 00041220 SHELL32_IconCacheRestore
        431  101 00088220 SHELL32_IconCache_AboutToExtractIcons
        432  102 000880F0 SHELL32_IconCache_DoneExtractingIcons
        433  103 000BC560 SHELL32_IconCache_ExpandEnvAndSearchPath
        434  104 000AE230 SHELL32_IconCache_RememberRecentlyExtractedIconsW
        435  105 0008B460 SHELL32_IconOverlayManagerInit
        436  106 000C13C0 SHELL32_IsGetKeyboardLayoutPresent
        437  107 000E2610 SHELL32_IsSystemUpgradeInProgress
        438  108 000BF080 SHELL32_IsValidLinkInfo
        439  109 002A9CB0 SHELL32_LegacyEnumSpecialTasksByType
        440  10A 002A9CC0 SHELL32_LegacyEnumTasks
        441  10B 000537A0 SHELL32_LookupBackIconIndex
        442  10C 000A2A00 SHELL32_LookupFrontIconIndex
        443  10D 002A9CD0 SHELL32_NormalizeRating
        444  10E 002A9CE0 SHELL32_NotifyLinkTrackingServiceOfMove
        445  10F 001B5CD0 SHELL32_PifMgr_CloseProperties
        446  110 0010EB40 SHELL32_PifMgr_GetProperties
        447  111 0010EB40 SHELL32_PifMgr_OpenProperties
        448  112 0010EB40 SHELL32_PifMgr_SetProperties
        449  113 002A9CF0 SHELL32_Printers_CreateBindInfo
        450  114 002A9D00 SHELL32_Printjob_GetPidl
        451  115 002A9D10 SHELL32_PurgeSystemIcon
        452  116 0008B400 SHELL32_RefreshOverlayImages
        453  117 002A9D20 SHELL32_ResolveLinkInfoW
        454  118 002A9D40 SHELL32_SHAddSparseIcon
        455  119 002A9D50 SHELL32_SHCreateByValueOperationInterrupt
        456  11A 000844D0 SHELL32_SHCreateDefaultContextMenu
        457  11B 002A9D60 SHELL32_SHCreateLocalServer
        458  11C 000C42C0 SHELL32_SHCreateShellFolderView
        459  11D 002A9D70 SHELL32_SHDuplicateEncryptionInfoFile
        460  11E 002A9D90 SHELL32_SHEncryptFile
        461  11F 002A9DA0 SHELL32_SHFormatDriveAsync
        462  120 002A9DB0 SHELL32_SHGetThreadUndoManager
        463  121 0010E700 SHELL32_SHGetUserNameW
        464  122 002A9DC0 SHELL32_SHIsVirtualDevice
        465  123 002A9DD0 SHELL32_SHLaunchPropSheet
        466  124 002A9DE0 SHELL32_SHLogILFromFSIL
        467  125 002A9DF0 SHELL32_SHOpenWithDialog
        468  126 002A9E00 SHELL32_SHStartNetConnectionDialogW
        469  127 002671E0 SHELL32_SHUICommandFromGUID
        470  128 004B8E50 SHELL32_SendToMenu_InvokeTargetedCommand
        471  129 004B8EA0 SHELL32_SendToMenu_VerifyTargetedCommand
        472  12A 002A9E20 SHELL32_ShowHideIconOnlyOnDesktop
        473  12B 002A9E30 SHELL32_SimpleRatingToFilterCondition
        474  12C 002A9E40 SHELL32_StampIconForFile
        475  12D 000C15D0 SHELL32_SuspendUndo
        476  12E 002A9EA0 SHELL32_TryVirtualDiscImageDriveEject
        477  12F 000B5550 SHELL32_VerifySaferTrust
        478  130 002AA2B0 SHEmptyRecycleBinA
        479  131 002AA340 SHEmptyRecycleBinW
        480  132 0004B710 SHEnableServiceObject
        481  133 0021B3D0 SHEnumerateUnreadMailAccountsW
        482  134 000737E0 SHEvaluateSystemCommandTemplate
        483  135 002AC700 SHExecuteErrorMessageBox
        484  136 001B2B40 SHExtractIconsW
        485  137 001C2710 SHFileOperation
        486  138 001C2710 SHFileOperationA
        487  139 001C2730 SHFileOperationW
         90  13A 0021B730 SHFindFiles
        149  13B 002AD270 SHFind_InitMenuPopup
        526  13C 002AD940 SHFlushSFCache
        488  13D 00223580 SHFormatDrive
        195  13E 000A7910 SHFree
        489  13F 001C2750 SHFreeNameMappings
        750  140 000242F0 SHGetAttributesFromDataObject
        490  141 0022D490 SHGetDataFromIDListA
        491  142 000B09B0 SHGetDataFromIDListW
        492  143 000C3930 SHGetDesktopFolder
        493  144 0022D5A0 SHGetDiskFreeSpaceA
        494  145 0022D5A0 SHGetDiskFreeSpaceExA
        495  146 0022D620 SHGetDiskFreeSpaceExW
        496  147 002B56E0 SHGetDriveMedia
        497  148 0001A810 SHGetFileInfo
        498  149 0001A810 SHGetFileInfoA
        499  14A 00071B60 SHGetFileInfoW
        500  14B 000219F0 SHGetFolderLocation
        501  14C 00259DA0 SHGetFolderPathA
        502  14D 00259DC0 SHGetFolderPathAndSubDirA
        503  14E 000C4070 SHGetFolderPathAndSubDirW
        504  14F 0001CBE0 SHGetFolderPathEx
        505  150 000A75F0 SHGetFolderPathW
        506  151 0006A880 SHGetIDListFromObject
        507  152 002B5F70 SHGetIconOverlayIndexA
        508  153 002B5FF0 SHGetIconOverlayIndexW
        727  154 00050690 SHGetImageList
        509  155 000C2C80 SHGetInstanceExplorer
        510  156 000873A0 SHGetItemFromDataObject
        511  157 000C52E0 SHGetItemFromObject
        512  158 000C2B20 SHGetKnownFolderIDList
        513  159 000C2B00 SHGetKnownFolderItem
        514  15A 000C0AA0 SHGetKnownFolderPath
        515  15B 0022D640 SHGetLocalizedName
        516  15C 00106A10 SHGetMalloc
        517  15D 0001F7F0 SHGetNameFromIDList
        518  15E 0022D7F0 SHGetNewLinkInfo
        179  15F 0022D7F0 SHGetNewLinkInfoA
        180  160 0022D910 SHGetNewLinkInfoW
        519  161 0021B810 SHGetPathFromIDList
        527  162 0021B810 SHGetPathFromIDListA
        528  163 000A8A00 SHGetPathFromIDListEx
        529  164 0006CFA0 SHGetPathFromIDListW
        530  165 0009C470 SHGetPropertyStoreForWindow
        531  166 0022D940 SHGetPropertyStoreFromIDList
        532  167 0022D9D0 SHGetPropertyStoreFromParsingName
         98  168 0021B930 SHGetRealIDL
        709  169 001B2F00 SHGetSetFolderCustomSettings
         68  16A 000400C0 SHGetSetSettings
        533  16B 002B6820 SHGetSettings
        534  16C 000C1070 SHGetSpecialFolderLocation
        535  16D 00259DE0 SHGetSpecialFolderPathA
        536  16E 000C2760 SHGetSpecialFolderPathW
        537  16F 000F03B0 SHGetStockIconInfo
        538  170 00039780 SHGetTemporaryPropertyForItem
        539  171 0021B950 SHGetUnreadMailCountW
        193  172 00280EC0 SHHandleUpdateImage
        228  173 002095D0 SHHelpShortcuts_RunDLL
        229  174 002095D0 SHHelpShortcuts_RunDLLA
        238  175 00209680 SHHelpShortcuts_RunDLLW
         28  176 002745A0 SHILCreateFromPath
        540  177 001DAF70 SHInvokePrinterCommandA
        541  178 001DB060 SHInvokePrinterCommandW
        542  179 0021BDA0 SHIsFileAvailableOffline
        747  17A 002B78C0 SHLimitInputEdit
        543  17B 000DA7B0 SHLoadInProc
        544  17C 0021C060 SHLoadNonloadedIconOverlayIdentifiers
         77  17D 000C3620 SHMapPIDLToSystemImageListIndex
        716  17E 002B8580 SHMultiFileProperties
        178  17F 00209830 SHObjectProperties
        545  180 0022DA80 SHOpenFolderAndSelectItems
