
Dump of file C:\Windows\System32\lsasrv.dll

File Type: DLL

  Section contains the following exports for LSASRV.dll

    00000000 characteristics
    87EEBD31 time date stamp
        0.00 version
           1 ordinal base
         286 number of functions
         286 number of names

    ordinal hint RVA      name

        151   95 00067520 LsaIVerifyCachabilityEx
        152   96 00067180 LsaIWasLogonNotifiedOfProfileLoad
        153   97 000DC1F0 LsaIWriteAuditEvent
        154   98 000DC2B0 LsaIWriteKdcAuthenticationEvent
        155   99 00020E70 LsapAdtAuditingEnabledByLogonId
        156   9A 0001D290 LsapAdtAuditingEnabledBySubCategory
        157   9B 000DFE90 LsapAdtAuditingEnabledHint
        158   9C 00038810 LsapAdtGetCallerProcessInfo
        159   9D 0001DC60 LsapAdtInitParametersArray
        160   9E 00045090 LsapAdtWriteLog
        161   9F 0003B730 LsapAllocateLsaHeap
        162   A0 0003B730 LsapAllocatePrivateHeap
        163   A1 0005AF80 LsapAuOpenSam
        164   A2 000E0620 LsapAuditFailed
        165   A3 000FEFD0 LsapBuildPrivilegeAuditString
        166   A4 0005A1D0 LsapCheckBootMode
        167   A5 00013ED0 LsapCloseHandle
        168   A6 00034340 LsapCompareDomainNames
        169   A7 00047470 LsapCrServerGetSessionKey
        170   A8 000E1A40 LsapCrServerGetSessionKeySafe
        171   A9 00013610 LsapDbAcquireLockEx
        172   AA 00014DC0 LsapDbApplyTransaction
        173   AB 00053CA0 LsapDbBuildObjectCaches
        174   AC 00100EA0 LsapDbCloseHandle
        175   AD 000142C0 LsapDbCloseObject
        176   AE 00054580 LsapDbCopyUnicodeAttribute
        177   AF 00102320 LsapDbCopyUnicodeAttributeNoAlloc
        178   B0 00101080 LsapDbCreateObject
        179   B1 00101550 LsapDbDeleteAttributesObject
        180   B2 001015F0 LsapDbDeleteObject
        181   B3 00010710 LsapDbDereferenceHandle
        182   B4 00012F90 LsapDbDereferenceObject
        183   B5 0004BD70 LsapDbEnumerateSids
        184   B6 001030B0 LsapDbEnumerateTrustedDomainsEx
        185   B7 00103BD0 LsapDbExpAcquireReadLockTrustedDomainList
        186   B8 00103C00 LsapDbExpAcquireWriteLockTrustedDomainList
        187   B9 00103C30 LsapDbExpConvertReadLockTrustedDomainListToExclusive
        188   BA 00103C50 LsapDbExpConvertWriteLockTrustedDomainListToShared
        189   BB 00103C70 LsapDbExpIsCacheBuilding
        190   BC 00103C90 LsapDbExpIsCacheValid
        191   BD 00103CB0 LsapDbExpIsLockedTrustedDomainList
        192   BE 00103D00 LsapDbExpMakeCacheBuilding
        193   BF 00103D20 LsapDbExpMakeCacheInvalid
        194   C0 00103D40 LsapDbExpMakeCacheValid
        195   C1 00103D60 LsapDbExpReleaseLockTrustedDomainList
        196   C2 00054E60 LsapDbFreeAttributes
        197   C3 00103260 LsapDbFreeTrustedDomainsEx
        198   C4 00103D80 LsapDbGetDbObjectTypeName
        199   C5 00103DA0 LsapDbGetDbPolicyHandle
        200   C6 00015080 LsapDbGetSecretType
        201   C7 00046AD0 LsapDbInitializeAttribute
        202   C8 000F8500 LsapDbIsStatusConnectionFailure
        203   C9 00032D10 LsapDbLookupAddListReferencedDomains
        204   CA 000F8530 LsapDbLookupCreateListReferencedDomains
        205   CB 000423B0 LsapDbLookupGetDomainInfo
        206   CC 00033BF0 LsapDbLookupListReferencedDomains
        207   CD 000F8B50 LsapDbLookupMergeDisjointReferencedDomains
        208   CE 000F8DF0 LsapDbLookupNameChainRequest
        209   CF 000FC430 LsapDbLookupNamesInPrimaryDomain
        210   D0 00102AB0 LsapDbLookupSidsInPrimaryDomain
        211   D1 00102390 LsapDbMakeGuidAttribute
        212   D2 001023F0 LsapDbMakeSidAttribute
        213   D3 00102480 LsapDbMakeUnicodeAttribute
        214   D4 00011AE0 LsapDbOpenObject
        215   D5 000137F0 LsapDbQueryInformationPolicy
        216   D6 00054FB0 LsapDbReadAttribute
        217   D7 00046980 LsapDbReadAttributesObject
        218   D8 0000FAE0 LsapDbReferenceObject
        219   D9 00011A30 LsapDbReleaseLockEx
        220   DA 00103EF0 LsapDbSecretIsMachineAcc
        221   DB 00014470 LsapDbSidToLogicalNameObject
        222   DC 00103400 LsapDbSlowEnumerateTrustedDomains
        223   DD 000FC970 LsapDbUpdateCountCompUnmappedNames
        224   DE 0000F9C0 LsapDbVerifyHandle
        225   DF 00103DB0 LsapDbVerifyInfoQueryTrustedDomain
        226   E0 00103DD0 LsapDbVerifyInfoSetTrustedDomain
        227   E1 001019D0 LsapDbWriteAttributesObject
        228   E2 000C0490 LsapDomainRenameHandlerForLogonSessions
        229   E3 000FA9C0 LsapDsInitializeDsStateInfo
        230   E4 000FAA00 LsapDsUnitializeDsStateInfo
        231   E5 000DE930 LsapDssetupInitializeGetPrimaryDomainInformationOpState
        232   E6 00016A60 LsapDuplicateSid
        233   E7 000248D0 LsapDuplicateString
        234   E8 00016AE0 LsapFreeLsaHeap
        235   E9 00016AE0 LsapFreePrivateHeap
        236   EA 00024E90 LsapFreeString
        237   EB 00103DF0 LsapGetAccountDomainHandle
        238   EC 000E1C20 LsapGetCapeNamesForCap
        239   ED 00103E00 LsapGetGlobalRestrictAnonymous
        240   EE 00103E10 LsapGetHourlyLogLevel
        241   EF 00023E40 LsapGetLogonSessionAccountInfoEx
        242   F0 000F9490 LsapGetLookupRestrictIsolatedNameLevel
        243   F1 00103E20 LsapGetPolicyHandle
        244   F2 00103E40 LsapGetWellKnownSid
        245   F3 0004FCF0 LsapInitLsa
        246   F4 00103E60 LsapInitializeLsaDb
        247   F5 000F94A0 LsapIsBuiltinDomain
        248   F6 00103EE0 LsapIsSamOpened
        249   F7 000DE970 LsapOpenSam
        250   F8 000140A0 LsapQueryClientInfo
        251   F9 000AB870 LsapRemoveTrailingDot
        252   FA 00033C60 LsapRpcCopySid
        253   FB 000347C0 LsapRpcCopyUnicodeString
        254   FC 000F94E0 LsapRtlValidateControllerTrustedDomain
        255   FD 000F9680 LsapRtlValidateControllerTrustedDomainByHandle
        256   FE 000C27B0 LsapSetErrorInfo
        257   FF 000E0920 LsapSidListSize
        258  100 000AB9E0 LsapTraceEvent
        259  101 00012F20 LsapTraceEventWithData
        260  102 000AB8B0 LsapTruncateUnicodeString
        261  103 00012E10 LsarClose
        262  104 00104760 LsarCreateSecret
        263  105 000FEE10 LsarDeleteObject
        264  106 00103640 LsarEnumerateTrustedDomainsEx
        265  107 00048610 LsarLookupSids
        266  108 000FE330 LsarOpenPolicy
        267  109 00014EE0 LsarOpenSecret
        268  10A 001050F0 LsarQueryDomainInformationPolicy
        269  10B 0000FCE0 LsarQueryInformationPolicy
        270  10C 00046480 LsarQuerySecret
        271  10D 001037B0 LsarQueryTrustedDomainInfoByName
        272  10E 00106070 LsarRetrievePrivateData
        273  10F 000FE6B0 LsarSetInformationPolicy
        274  110 00104A20 LsarSetSecret
        275  111 00103A00 LsarSetTrustedDomainInfoByName
        276  112 00106120 LsarStorePrivateData
          2  113 00061750 QueryLsaInterface
        277  114 0005A090 ServiceInit
        278  115 000188D0 SpmpEventWrite
        279  116 0002FA00 TracePrint
        280  117 000F7B30 TracePrintCallerInformation
        281  118 000E2EB0 _fgs__LSAPR_TRUSTED_DOMAIN_FULL_INFORMATION2
        282  119 000E2F30 _fgs__LSAPR_TRUSTED_DOMAIN_INFORMATION_EX2
        283  11A 00048570 _fgs__LSAPR_TRUSTED_ENUM_BUFFER
        284  11B 000E2F90 _fgs__LSAPR_TRUSTED_ENUM_BUFFER_EX
        285  11C 000485D0 _fgs__LSAPR_TRUST_INFORMATION
        286  11D 000E3050 _fgu__LSAPR_TRUSTED_DOMAIN_INFO

  Summary

        A000 .data
        1000 .didat
        B000 .pdata
       4C000 .rdata
        2000 .reloc
        8000 .rsrc
      133000 .text
