
Dump of file C:\Windows\System32\samsrv.dll

File Type: DLL

  Section contains the following exports for SAMSRV.dll

    00000000 characteristics
     9354CF9 time date stamp
        0.00 version
           1 ordinal base
         329 number of functions
         329 number of names

    ordinal hint RVA      name

        190   BD 00090BB0 SampGetDomainServerRoleFromIndex
        191   BE 0001F990 SampGetDomainSidFromAccountContext
        192   BF 00022E90 SampGetDomainSidFromIndex
        193   C0 00011620 SampGetDomainSidListForSam
        194   C1 00023920 SampGetDomainUpgradeTasks
        195   C2 00021020 SampGetDownLevelDomainControllersPresent
        196   C3 0000D9E0 SampGetExtendedAttribute
        197   C4 00090BD0 SampGetExternalNameFromIndex
        198   C5 0002CD90 SampGetFixedAttributes
        199   C6 00090BF0 SampGetHasNeverTime
        200   C7 00090C00 SampGetIgnoreGCFailures
        201   C8 000207E0 SampGetLogLevel
        202   C9 00023950 SampGetNT4UpgradeInProgress
        203   CA 000810E0 SampGetNewAccountSecurityNt4
        204   CB 00090C10 SampGetNextUnmodifiedRidFromIndex
        205   CC 00090C30 SampGetNoGcLogonEnforceKerberosIpCheck
        206   CD 00090C40 SampGetNoGcLogonEnforceNTLMCheck
        207   CE 0002F3E0 SampGetObjectSD
        208   CF 00020880 SampGetObjectTypeNameFromIndex
        209   D0 00088FC0 SampGetPasswordMustChangeWithUF_UAC
        210   D1 00006B50 SampGetReverseMembershipTransitive
        211   D2 00021040 SampGetSamSubsystemName
        212   D3 0006DA60 SampGetSerialNumberDomain2
        213   D4 00023940 SampGetServerObjectName
        214   D5 00002A00 SampGetSidArrayAttribute
        215   D6 0002CCD0 SampGetSidAttribute
        216   D7 000220B0 SampGetSuccessAccountAuditingEnabled
        217   D8 00023320 SampGetUlongArrayAttribute
        218   D9 00009840 SampGetUnicodeStringAttribute
        219   DA 000890F0 SampGetUserAccountControlComputed
        220   DB 00006AC0 SampGetUserAccountSettings
        221   DC 00090C50 SampGetWillNeverTime
        222   DD 0000C970 SampImpersonateClient
        223   DE 000763D0 SampIncreaseBadPwdCountLoopback
        224   DF 00004980 SampIncrementActiveThreads
        225   E0 00090C60 SampIncrementNetlogonChangeLogSerialNumber
        226   E1 00022F10 SampInvalidateDomainCache
        227   E2 00021180 SampIsAccountBuiltIn
        228   E3 00020740 SampIsAuditingEnabled
        229   E4 00020720 SampIsBuiltinDomain
        230   E5 0001E990 SampIsDomainHosted
        231   E6 00090D20 SampIsServiceRunning
        232   E7 00028000 SampIsSetupInProgress
        233   E8 00075580 SampLogPrint
        234   E9 00007C20 SampLookupContext
        235   EA 0001CD70 SampMarkPerAttributeInvalidFromWhichFields
        236   EB 0000B300 SampNeedUserAccountSettingsDuringQuery
        237   EC 0001E270 SampNetLogonNotificationRequired
        238   ED 0001ED30 SampNotifyAuditChange
        239   EE 00011E80 SampNotifyReplicatedInChange
        240   EF 00020360 SampPasswordChangeNotify
        241   F0 0001EA60 SampPasswordChangeNotifyWorker
        242   F1 00090F70 SampPositionOfHighestBit
        243   F2 00014A90 SampQueryCapabilities
        244   F3 00007CC0 SampQueryInformationUserInternal
        245   F4 000204D0 SampQueryUserSupplementalCredentialsRegistry
        246   F5 0000DD10 SampReadExtendedAttributes
        247   F6 00085610 SampRecordSystemSchemaVerisonInRegistry
        248   F7 0001FC20 SampReferenceContext
        249   F8 0001D390 SampRegObjToDsObj
        250   F9 0000C2D0 SampReleaseReadLock
        251   FA 00011E40 SampReleaseSamLockExclusive
        252   FB 0002A290 SampReleaseWriteLock
        253   FC 00073210 SampRemoveAccountFromGroupMembers
        254   FD 00073440 SampRemoveSameDomainMemberFromGlobalOrUniversalGroup
        255   FE 00073500 SampRemoveUserFromGroup
        256   FF 00010F40 SampRenameKrbtgtAccount
        257  100 00089B90 SampReplaceUserLogonHours
        258  101 0002A9D0 SampReplaceUserV1aFixed
        259  102 00020EA0 SampRetrieveGroupV1Fixed
        260  103 00015F00 SampRetrieveMultipleCredentials
        261  104 0000B5A0 SampRetrieveUserPasswords
        262  105 0000B470 SampRetrieveUserV1aFixed
        263  106 00002CA0 SampRevertToSelf
        264  107 00002D80 SampRtlWellKnownPrivilegeCheck
        265  108 0001D7B0 SampSetAccessAttribute
        266  109 0007C070 SampSetAdminPassword
        267  10A 0001E1A0 SampSetAttributeAccess
        268  10B 000237A0 SampSetComputerObjectDsName
        269  10C 00070A50 SampSetDSRMPasswordWorker
        270  10D 00010610 SampSetExtendedAttributeAccess
        271  10E 0002AA50 SampSetFixedAttributes
        272  10F 00022AA0 SampSetGlobalDsSids
        273  110 0007C1A0 SampSetPassword
        274  111 00077070 SampSetPasswordInfoOnPdcByHandle
        275  112 00077100 SampSetPasswordInfoOnPdcByIndex
        276  113 0006EFB0 SampSetSerialNumberDomain2
        277  114 00004120 SampSetTransactionDomain
        278  115 000916C0 SampSetTransactionWithinDomain
        279  116 00019880 SampSetUnicodeStringAttribute
        280  117 00013100 SampSetUserAccountControl
        281  118 0002B7A0 SampSplitSid
        282  119 0002ACA0 SampStoreObjectAttributes
        283  11A 000918C0 SampStringFromGuid
        284  11B 0000AAE0 SampTraceEvent
        285  11C 0000B340 SampUpdateAccountDisabledFlag
        286  11D 0000BB90 SampUpdateComputedUserAccountControlBits
        287  11E 0001FC30 SampUpdateMixedModeAndFindDomain
        288  11F 0000F0B0 SampUpdatePerformanceCounters
        289  120 00022170 SampUpgradeUserParmsActual
        290  121 000248C0 SampUsingDsData
        291  122 000115A0 SampValidateDomainCacheCallback
