
Dump of file C:\Windows\System32\migwiz\csiagent.dll

File Type: DLL

  Section contains the following exports for csiagent.dll

    00000000 characteristics
    9BEEE246 time date stamp
        0.00 version
           1 ordinal base
         197 number of functions
         197 number of names

    ordinal hint RVA      name

         91   5A 00001800 ??4IManifestParser@Mig@@QEAAAEAU01@$$QEAU01@@Z
         92   5B 00001800 ??4IManifestParser@Mig@@QEAAAEAU01@AEBU01@@Z
         93   5C 00001800 ??4IManifestSourceFactory@Mig@@QEAAAEAU01@$$QEAU01@@Z
         94   5D 00001800 ??4IManifestSourceFactory@Mig@@QEAAAEAU01@AEBU01@@Z
         95   5E 00001800 ??4IResourceLocator@Mig@@QEAAAEAU01@$$QEAU01@@Z
         96   5F 00001800 ??4IResourceLocator@Mig@@QEAAAEAU01@AEBU01@@Z
         97   60 00015140 ??7?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@QEBA_NXZ
         98   61 00015140 ??7?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@QEBA_NXZ
         99   62 00015150 ??B?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@QEBAPEAVNullTest@01@XZ
        100   63 00015390 ??B?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@QEBAPEAVNullTest@01@XZ
        101   64 00015130 ??C?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@QEBAPEAV?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@1@XZ
        102   65 00015130 ??C?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@QEBAPEAVXmlDocument@1@XZ
        103   66 00015130 ??D?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@QEBAAEAV?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@1@XZ
        104   67 00015130 ??D?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@QEBAAEAVXmlDocument@1@XZ
        105   68 00051200 ??_7?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@6B@
        106   69 00050C68 ??_7?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@6B@
        107   6A 00053CF0 ??_7CCSIAgent@Mig@@6B01@@
        108   6B 00050BE8 ??_7CCSIAgent@Mig@@6BCAgent@1@@
        109   6C 00051518 ??_7CComponentBuilder@Mig@@6B@
        110   6D 00050708 ??_7CComponentState@Mig@@6B@
        111   6E 00054758 ??_7CDirManifestEnumerator@Mig@@6B@
        112   6F 00051D70 ??_7CDllManifestParser@Mig@@6B@
        113   70 00050798 ??_7CInstalledManifestEnumerator@Mig@@6B@
        114   71 00050F88 ??_7CListManifestEnumerator@Mig@@6B@
        115   72 000531B0 ??_7CManifestSource@Mig@@6B@
        116   73 00052A28 ??_7CManifestSourceFactory@Mig@@6B@
        117   74 00050D08 ??_7CMigUnitListGenerator@Mig@@6B@
        118   75 000522C8 ??_7CReplManData@Mig@@6B@
        119   76 00052DC0 ??_7CReplManifestSourceFactory@Mig@@6B@
        120   77 00054DB0 ??_7CResourceLocator@Mig@@6B@
        121   78 0006E6E8 ??_8CCSIAgent@Mig@@7B@
        122   79 00003630 ??_DCCSIAgent@Mig@@QEAAXXZ
        123   7A 0000FB40 ?AddApplyInfo@CCSIAgent@Mig@@UEAAXPEAVCMigUnit@2@@Z
        124   7B 0000FAB0 ?AddGatherInfo@CCSIAgent@Mig@@UEAAXPEAVCMigUnit@2@PEAUICancelable@@@Z
        125   7C 0000B680 ?AddMigUnit@CMigUnitListGenerator@Mig@@AEAAXPEAVString@UnBCL@@PEAVCUserContext@2@PEAVCMigUnitList@2@PEAVCMigUnitID@2@H@Z
        126   7D 0000FC20 ?AdjustRules@CCSIAgent@Mig@@UEAAXPEAVCMigUnit@2@0@Z
        127   7E 000151C0 ?Assign@?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@AEAAXAEBV12@@Z
        128   7F 00015170 ?Assign@?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@AEAAXPEAV?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@2@@Z
        129   80 00015400 ?Assign@?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@AEAAXAEBV12@@Z
        130   81 000153B0 ?Assign@?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@AEAAXPEAVXmlDocument@2@@Z
        131   82 00008D90 ?BuildComponentState@CComponentBuilder@Mig@@QEAAPEAVCComponentState@2@PEAVXmlDocument@UnBCL@@PEAVString@5@1PEAV?$Hashtable@PEAVString@UnBCL@@PEAV12@@5@2@Z
        132   83 00009BA0 ?BuildDisplayID@CComponentBuilder@Mig@@AEAAHPEAVXmlDocument@UnBCL@@PEAVString@4@PEAVCComponentState@2@@Z
        133   84 0000A1D0 ?BuildDisplayStringTable@CComponentBuilder@Mig@@AEAAHPEAVXmlDocument@UnBCL@@PEAVString@4@PEAVCComponentState@2@@Z
        134   85 0000AC20 ?BuildGlobalDisplayTable@CMigUnitListGenerator@Mig@@AEAAXXZ
        135   86 000096E0 ?BuildMigXmlID@CComponentBuilder@Mig@@AEAAHPEAVXmlDocument@UnBCL@@PEAVString@4@PEAVCComponentState@2@@Z
        136   87 00007930 ?CreateManifestSources@CManifestSourceFactory@Mig@@UEAAPEAV?$ArrayList@PEAVCManifestSource@Mig@@@UnBCL@@PEAVCPlatform@2@@Z
        137   88 00008170 ?CreateManifestSources@CReplManifestSourceFactory@Mig@@UEAAPEAV?$ArrayList@PEAVCManifestSource@Mig@@@UnBCL@@PEAVCPlatform@2@@Z
        138   89 000151D0 ?DeAssign@?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@AEAAXXZ
        139   8A 00015410 ?DeAssign@?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@AEAAXXZ
        140   8B 0000DCF0 ?Detect@CCSIAgent@Mig@@UEAAPEAVCMigUnitList@2@PEAVCUserContext@2@PEAUICancelable@@@Z
        141   8C 0000C240 ?Done@CCSIAgent@Mig@@UEAAXH@Z
        142   8D 000094E0 ?FilterByArchitecture@CComponentBuilder@Mig@@AEAAHPEAVXmlDocument@UnBCL@@PEAVString@4@PEAVCComponentState@2@@Z
        143   8E 0000D690 ?FindReplacementManifest@CCSIAgent@Mig@@AEAAPEAVXmlDocument@UnBCL@@PEAV34@PEAPEAVString@4@1@Z
        144   8F 0000AF30 ?GenerateMigUnitList@CMigUnitListGenerator@Mig@@QEAAPEAVCMigUnitList@2@PEAVCUserContext@2@PEAUICancelable@@@Z
        145   90 000087F0 ?GetResourceString@CResourceLocator@Mig@@UEAAPEAVString@UnBCL@@PEAV34@@Z
        146   91 0000C160 ?Init@CCSIAgent@Mig@@UEAAXPEAVCPlatform@2@PEAVString@UnBCL@@@Z
        147   92 0000BF40 ?Init@CCSIAgent@Mig@@UEAAXPEAVCPlatform@2@PEAVString@UnBCL@@PEAUIManifestSourceFactory@2@2@Z
        148   93 0000FDA0 ?InitApply@CCSIAgent@Mig@@UEAAXPEAVCPlatform@2@0PEAVString@UnBCL@@@Z
        150   94 0000C360 ?LoadReplacementManifests@CCSIAgent@Mig@@AEAAPEAV?$Hashtable@PEAVString@UnBCL@@PEAV?$ArrayList@PEAVCReplManData@Mig@@@2@@UnBCL@@XZ
        151   95 000070C0 ?MoveNext@CDirManifestEnumerator@Mig@@UEAAHPEAUICancelable@@@Z
        152   96 00006570 ?MoveNext@CInstalledManifestEnumerator@Mig@@UEAAHPEAUICancelable@@@Z
        153   97 00007870 ?MoveNext@CListManifestEnumerator@Mig@@UEAAHPEAUICancelable@@@Z
        154   98 00015090 ?Nullify@?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@QEAAAEAV12@XZ
        155   99 00015300 ?Nullify@?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@QEAAAEAV12@XZ
        156   9A 000045E0 ?Parse@CDllManifestParser@Mig@@UEAAHPEAVString@UnBCL@@0PEAVMutableString@4@@Z
        157   9B 0000B270 ?ProcessContainer@CMigUnitListGenerator@Mig@@AEAAPEAVCMigUnitID@2@PEAVString@UnBCL@@PEAVCUserContext@2@PEAV?$Hashtable@PEAVString@UnBCL@@PEAVCMigUnit@Mig@@@5@@Z
        158   9C 000071D0 ?Reset@CDirManifestEnumerator@Mig@@UEAAXXZ
        159   9D 00006980 ?Reset@CInstalledManifestEnumerator@Mig@@UEAAXXZ
