
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda32.dll

File Type: DLL

  Section contains the following exports for nvcuda.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        183   B6 001DA8D0 cuGraphExecExternalSemaphoresWaitNodeSetParams
        184   B7 001D9CD0 cuGraphExecHostNodeSetParams
        185   B8 001D96B0 cuGraphExecKernelNodeSetParams
        186   B9 001D98B0 cuGraphExecMemcpyNodeSetParams
        187   BA 001D9AC0 cuGraphExecMemsetNodeSetParams
        188   BB 001DB2B0 cuGraphExecUpdate
        189   BC 001D6E10 cuGraphExternalSemaphoresSignalNodeGetParams
        190   BD 001D7040 cuGraphExternalSemaphoresSignalNodeSetParams
        191   BE 001D74E0 cuGraphExternalSemaphoresWaitNodeGetParams
        192   BF 001D7710 cuGraphExternalSemaphoresWaitNodeSetParams
        193   C0 001D8750 cuGraphGetEdges
        194   C1 001D7FE0 cuGraphGetNodes
        195   C2 001D8390 cuGraphGetRootNodes
        196   C3 001D5190 cuGraphHostNodeGetParams
        197   C4 001D53C0 cuGraphHostNodeSetParams
        198   C5 001F71E0 cuGraphInstantiate
        199   C6 001D94C0 cuGraphInstantiate_v2
        200   C7 001DB4C0 cuGraphKernelNodeCopyAttributes
        201   C8 001DB6A0 cuGraphKernelNodeGetAttribute
        202   C9 001D3D60 cuGraphKernelNodeGetParams
        203   CA 001DB930 cuGraphKernelNodeSetAttribute
        204   CB 001D3FB0 cuGraphKernelNodeSetParams
        205   CC 001F6720 cuGraphLaunch
        206   CD 001DAD30 cuGraphLaunch_ptsz
        207   CE 001D4390 cuGraphMemcpyNodeGetParams
        208   CF 001D45F0 cuGraphMemcpyNodeSetParams
        209   D0 001D49D0 cuGraphMemsetNodeGetParams
        210   D1 001D4C20 cuGraphMemsetNodeSetParams
        211   D2 001D7B90 cuGraphNodeFindInClone
        212   D3 001D8AD0 cuGraphNodeGetDependencies
        213   D4 001D8CD0 cuGraphNodeGetDependentNodes
        214   D5 001D7D90 cuGraphNodeGetType
        215   D6 001D90E0 cuGraphRemoveDependencies
        216   D7 001F6540 cuGraphUpload
        217   D8 001DAB50 cuGraphUpload_ptsz
        218   D9 001F8210 cuGraphicsD3D10RegisterResource
        219   DA 001FB1D0 cuGraphicsD3D11RegisterResource
        220   DB 001FC7E0 cuGraphicsD3D9RegisterResource
        221   DC 001FFAE0 cuGraphicsGLRegisterBuffer
        222   DD 001FFCE0 cuGraphicsGLRegisterImage
        223   DE 001F42E0 cuGraphicsMapResources
        224   DF 001E4930 cuGraphicsMapResources_ptsz
        225   E0 001E4160 cuGraphicsResourceGetMappedMipmappedArray
        226   E1 001EC910 cuGraphicsResourceGetMappedPointer
        227   E2 001E4550 cuGraphicsResourceGetMappedPointer_v2
        228   E3 001E54A0 cuGraphicsResourceSetMapFlags
        229   E4 001E4750 cuGraphicsResourceSetMapFlags_v2
        230   E5 001E3D50 cuGraphicsSubResourceGetMappedArray
        231   E6 001F44E0 cuGraphicsUnmapResources
        232   E7 001E4B30 cuGraphicsUnmapResources_ptsz
        233   E8 001E3B80 cuGraphicsUnregisterResource
        234   E9 001CF560 cuImportExternalMemory
        235   EA 001CFD10 cuImportExternalSemaphore
        236   EB 001B4250 cuInit
        237   EC 001BE570 cuIpcCloseMemHandle
        238   ED 001BDAA0 cuIpcGetEventHandle
        239   EE 001BDFF0 cuIpcGetMemHandle
        240   EF 001BDD30 cuIpcOpenEventHandle
        241   F0 001F6EF0 cuIpcOpenMemHandle
        242   F1 001BE280 cuIpcOpenMemHandle_v2
        243   F2 001D2F80 cuLaunch
        244   F3 001F5360 cuLaunchCooperativeKernel
        245   F4 001D1FC0 cuLaunchCooperativeKernelMultiDevice
        246   F5 001D1D80 cuLaunchCooperativeKernel_ptsz
        247   F6 001D3150 cuLaunchGrid
        248   F7 001D3340 cuLaunchGridAsync
        249   F8 001F40E0 cuLaunchHostFunc
        250   F9 001D21C0 cuLaunchHostFunc_ptsz
        251   FA 001F3E90 cuLaunchKernel
        252   FB 001D1B30 cuLaunchKernel_ptsz
        253   FC 001E58D0 cuLinkAddData
        254   FD 001BB530 cuLinkAddData_v2
        255   FE 001E5B40 cuLinkAddFile
        256   FF 001BB7A0 cuLinkAddFile_v2
        257  100 001BB9A0 cuLinkComplete
        258  101 001E5680 cuLinkCreate
        259  102 001BB2E0 cuLinkCreate_v2
        260  103 001BBBD0 cuLinkDestroy
        261  104 001C6660 cuMemAddressFree
        262  105 001C6460 cuMemAddressReserve
        263  106 001CA0C0 cuMemAdvise
        264  107 001E6EC0 cuMemAlloc
        265  108 001F77C0 cuMemAllocAsync
        266  109 001C8280 cuMemAllocAsync_ptsz
        267  10A 001F79C0 cuMemAllocFromPoolAsync
        268  10B 001C9210 cuMemAllocFromPoolAsync_ptsz
        269  10C 001E77D0 cuMemAllocHost
        270  10D 001BC970 cuMemAllocHost_v2
        271  10E 001BD4C0 cuMemAllocManaged
        272  10F 001E70E0 cuMemAllocPitch
        273  110 001BC260 cuMemAllocPitch_v2
        274  111 001BC040 cuMemAlloc_v2
        275  112 001C6840 cuMemCreate
        276  113 001C7670 cuMemExportToShareableHandle
        277  114 001E7370 cuMemFree
        278  115 001F75D0 cuMemFreeAsync
        279  116 001C8090 cuMemFreeAsync_ptsz
        280  117 001BCB60 cuMemFreeHost
        281  118 001BC500 cuMemFree_v2
        282  119 001C7470 cuMemGetAccess
        283  11A 001E7540 cuMemGetAddressRange
        284  11B 001BC6E0 cuMemGetAddressRange_v2
        285  11C 001C7AB0 cuMemGetAllocationGranularity
        286  11D 001C7CB0 cuMemGetAllocationPropertiesFromHandle
        287  11E 001E6C50 cuMemGetInfo
        288  11F 001BBDC0 cuMemGetInfo_v2
        289  120 001BCD30 cuMemHostAlloc
        290  121 001E79B0 cuMemHostGetDevicePointer
        291  122 001BCF20 cuMemHostGetDevicePointer_v2
        292  123 001BD160 cuMemHostGetFlags
        293  124 001E52A0 cuMemHostRegister
        294  125 001BE740 cuMemHostRegister_v2
        295  126 001BE940 cuMemHostUnregister
        296  127 001C78B0 cuMemImportFromShareableHandle
        297  128 001C6C40 cuMemMap
        298  129 001F73D0 cuMemMapArrayAsync
        299  12A 001C6E80 cuMemMapArrayAsync_ptsz
        300  12B 001C8E60 cuMemPoolCreate
        301  12C 001C9040 cuMemPoolDestroy
        302  12D 001C98D0 cuMemPoolExportPointer
        303  12E 001C9490 cuMemPoolExportToShareableHandle
        304  12F 001C8C60 cuMemPoolGetAccess
        305  130 001C8860 cuMemPoolGetAttribute
        306  131 001C96B0 cuMemPoolImportFromShareableHandle
        307  132 001C9AB0 cuMemPoolImportPointer
        308  133 001C8A60 cuMemPoolSetAccess
        309  134 001C8660 cuMemPoolSetAttribute
        310  135 001C8480 cuMemPoolTrimTo
        311  136 001F5150 cuMemPrefetchAsync
        312  137 001C9EB0 cuMemPrefetchAsync_ptsz
        313  138 001CA300 cuMemRangeGetAttribute
        314  139 001CA510 cuMemRangeGetAttributes
        315  13A 001C6A60 cuMemRelease
        316  13B 001C7EB0 cuMemRetainAllocationHandle
        317  13C 001C7260 cuMemSetAccess
        318  13D 001C7080 cuMemUnmap
        338  13E 001F1120 cuMemcpy
        319  13F 001E8F80 cuMemcpy2D
        320  140 001E9AF0 cuMemcpy2DAsync
        321  141 001F0060 cuMemcpy2DAsync_v2
        322  142 001C14D0 cuMemcpy2DAsync_v2_ptsz
        323  143 001E9150 cuMemcpy2DUnaligned
        324  144 001EF690 cuMemcpy2DUnaligned_v2
        325  145 001C0140 cuMemcpy2DUnaligned_v2_ptds
        326  146 001EF4C0 cuMemcpy2D_v2
        327  147 001BFF70 cuMemcpy2D_v2_ptds
        328  148 001E9320 cuMemcpy3D
        329  149 001E9CD0 cuMemcpy3DAsync
        330  14A 001F0240 cuMemcpy3DAsync_v2
        331  14B 001C16B0 cuMemcpy3DAsync_v2_ptsz
        332  14C 001F1940 cuMemcpy3DPeer
        333  14D 001F1B10 cuMemcpy3DPeerAsync
        334  14E 001C1890 cuMemcpy3DPeerAsync_ptsz
        335  14F 001C04E0 cuMemcpy3DPeer_ptds
        336  150 001EF860 cuMemcpy3D_v2
