
Dump of file C:\Windows\System32\msi.dll

File Type: DLL

  Section contains the following exports for msi.dll

    00000000 characteristics
    E6C108F0 time date stamp
        0.00 version
           5 ordinal base
         295 number of functions
         295 number of names

    ordinal hint RVA      name

        255   FB 0017ADB0 MsiSourceListAddSourceExA
        256   FC 0017AFB0 MsiSourceListAddSourceExW
        211   FD 001741E0 MsiSourceListAddSourceW
        208   FE 00174310 MsiSourceListClearAllA
        259   FF 0017B100 MsiSourceListClearAllExA
        260  100 0017B2D0 MsiSourceListClearAllExW
        209  101 001744F0 MsiSourceListClearAllW
        275  102 0017B410 MsiSourceListClearMediaDiskA
        276  103 0017B5E0 MsiSourceListClearMediaDiskW
        257  104 0017B730 MsiSourceListClearSourceA
        258  105 0017B930 MsiSourceListClearSourceW
        271  106 0017BA80 MsiSourceListEnumMediaDisksA
        272  107 0017BD90 MsiSourceListEnumMediaDisksW
        263  108 0017BF00 MsiSourceListEnumSourcesA
        264  109 0017C180 MsiSourceListEnumSourcesW
        212  10A 00174600 MsiSourceListForceResolutionA
        261  10B 0017C2E0 MsiSourceListForceResolutionExA
        262  10C 0017C490 MsiSourceListForceResolutionExW
        213  10D 001747E0 MsiSourceListForceResolutionW
        265  10E 0017C5D0 MsiSourceListGetInfoA
        266  10F 0017C890 MsiSourceListGetInfoW
        267  110 0017C9E0 MsiSourceListSetInfoA
        268  111 0017CC00 MsiSourceListSetInfoW
        148  112 00186110 MsiSummaryInfoGetPropertyA
        149  113 001862C0 MsiSummaryInfoGetPropertyCount
        150  114 00186390 MsiSummaryInfoGetPropertyW
        151  115 00186540 MsiSummaryInfoPersist
        152  116 00186600 MsiSummaryInfoSetPropertyA
        153  117 001866E0 MsiSummaryInfoSetPropertyW
        154  118 001748F0 MsiUseFeatureA
        192  119 00174910 MsiUseFeatureExA
        193  11A 00174B00 MsiUseFeatureExW
        155  11B 00174CA0 MsiUseFeatureW
        142  11C 001868D0 MsiVerifyDiskSpace
        156  11D 00174CC0 MsiVerifyPackageA
        157  11E 00174E30 MsiVerifyPackageW
        158  11F 00106970 MsiViewClose
        159  120 00020790 MsiViewExecute
        160  121 00020EA0 MsiViewFetch
        166  122 000204F0 MsiViewGetColumnInfo
        161  123 00186990 MsiViewGetErrorA
        162  124 00186BD0 MsiViewGetErrorW
        163  125 00186D50 MsiViewModify
        295  126 00131CE0 QueryInstanceCount

  Summary

        8000 .data
        E000 .pdata
       AA000 .rdata
        4000 .reloc
       12000 .rsrc
      263000 .text
