
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igdgmm64.dll

File Type: DLL

  Section contains the following exports for igdgmm64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         287 number of functions
         287 number of names

    ordinal hint RVA      name

         56   37 0016D2E0 ?DestroyResInfoObject@GmmClientContext@GmmLib@@UEAAXPEAVGmmResourceInfoWin@2@PEAU_GmmClientAllocationCallbacks_@@@Z
         57   38 0016FBA0 ?DestroyTiledResource@GmmClientContext@GmmLib@@UEAAETGMM_ESCAPE_HANDLE_REC@@0PEAUGMM_UMD_SYNCCONTEXT_REC@@PEAUGMM_TRANSLATIONTABLE_CALLBACKS_REC@@PEAVGmmResourceInfoWin@2@TGMM_ESCAPE_FUNC_TYPE_REC@@I@Z
         58   39 0016EF70 ?EnhancedBufferMap@GmmClientContext@GmmLib@@UEAAETGMM_ESCAPE_HANDLE_REC@@0TGMM_ESCAPE_FUNC_TYPE_REC@@IQEAPEAUGMM_ENHANCED_BUFFER_INFO_REC@@@Z
         59   3A 00167810 ?EvictPageTablePool@GmmPageTableMgr@GmmLib@@UEAAXPEAIH@Z
         60   3B 0016ECA0 ?FreeGSCBuffer@GmmClientContext@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0PEAXTGMM_ESCAPE_FUNC_TYPE_REC@@@Z
         61   3C 0016F5E0 ?FreeHeapVA@GmmClientContext@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@PEAUGMM_HEAP_REC@@_K1@Z
         62   3D 00166AB0 ?FreeTRGpuVirtualAddress@GmmPageTableMgr@GmmLib@@UEAAJPEAUGMM_UMD_SYNCCONTEXT_REC@@PEBTGMM_DDI_FREEGPUVIRTUALADDRSS_INT@@E@Z
         63   3E 000021D0 ?GetArraySize@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         64   3F 000021E0 ?GetAuxHAlign@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         65   40 00166660 ?GetAuxL3TableAddr@GmmPageTableMgr@GmmLib@@UEAA_KXZ
         66   41 00002200 ?GetAuxQPitch@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         67   42 000022B0 ?GetAuxTileModeSurfaceState@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         68   43 000022C0 ?GetAuxTilePoolArray@GmmResourceInfoWin@GmmLib@@UEAAPEAXXZ
         69   44 000022D0 ?GetAuxTilePoolArraySize@GmmResourceInfoWin@GmmLib@@UEAAIXZ
         70   45 000022E0 ?GetAuxVAlign@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         71   46 00002300 ?GetBaseAlignment@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         72   47 00002310 ?GetBaseDepth@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         73   48 00002320 ?GetBaseHeight@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         74   49 00002330 ?GetBaseWidth@GmmResourceInfoCommon@GmmLib@@UEAA_KXZ
         75   4A 00002340 ?GetBitsPerPixel@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         76   4B 0016CA50 ?GetCachePolicyElement@GmmClientContext@GmmLib@@UEAA?AUGMM_CACHE_POLICY_ELEMENT_REC@@W4GMM_RESOURCE_USAGE_TYPE_ENUM@@@Z
         77   4C 0016CA90 ?GetCachePolicyTlbElement@GmmClientContext@GmmLib@@UEAA?AUGMM_CACHE_POLICY_TBL_ELEMENT_REC@@I@Z
         78   4D 0016C9F0 ?GetCachePolicyUsage@GmmClientContext@GmmLib@@UEAAPEAUGMM_CACHE_POLICY_ELEMENT_REC@@XZ
