
Dump of file C:\Windows\System32\rpcrt4.dll

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    E1D764F5 time date stamp
        0.00 version
        1000 ordinal base
         556 number of functions
         555 number of names

    ordinal hint RVA      name

       1170   9F 0002C5C0 NdrByteCountPointerUnmarshall
       1171   A0 0005CE20 NdrCStdStubBuffer2_Release
       1172   A1 0005B010 NdrCStdStubBuffer_Release
       1173   A2 00002A20 NdrClearOutParameters
       1174   A3 000011F0 NdrClientCall2
       1175   A4 000DF4C0 NdrClientCall3
       1176   A5 000C5330 NdrClientContextMarshall
       1177   A6 000C75E0 NdrClientContextUnmarshall
       1178   A7 0002CE90 NdrClientInitialize
       1179   A8 0002CE50 NdrClientInitializeNew
       1180   A9 00021D30 NdrComplexArrayBufferSize
       1181   AA 0001F660 NdrComplexArrayFree
       1182   AB 00020B20 NdrComplexArrayMarshall
       1183   AC 00059990 NdrComplexArrayMemorySize
       1184   AD 000267A0 NdrComplexArrayUnmarshall
       1185   AE 00024650 NdrComplexStructBufferSize
       1186   AF 00028DF0 NdrComplexStructFree
       1187   B0 00023610 NdrComplexStructMarshall
       1188   B1 000253D0 NdrComplexStructMemorySize
       1189   B2 000226F0 NdrComplexStructUnmarshall
       1190   B3 000203C0 NdrConformantArrayBufferSize
       1191   B4 0005E2E0 NdrConformantArrayFree
       1192   B5 000202C0 NdrConformantArrayMarshall
       1193   B6 00058B90 NdrConformantArrayMemorySize
       1194   B7 000262B0 NdrConformantArrayUnmarshall
       1195   B8 0002D920 NdrConformantStringBufferSize
       1196   B9 0002BF70 NdrConformantStringMarshall
       1197   BA 000589C0 NdrConformantStringMemorySize
       1198   BB 00012CB0 NdrConformantStringUnmarshall
       1199   BC 0002D750 NdrConformantStructBufferSize
       1200   BD 000C4DC0 NdrConformantStructFree
       1201   BE 0002ACA0 NdrConformantStructMarshall
       1202   BF 000582A0 NdrConformantStructMemorySize
       1203   C0 00028880 NdrConformantStructUnmarshall
       1204   C1 00059000 NdrConformantVaryingArrayBufferSize
       1205   C2 00064F70 NdrConformantVaryingArrayFree
       1206   C3 00058EB0 NdrConformantVaryingArrayMarshall
       1207   C4 000CB4C0 NdrConformantVaryingArrayMemorySize
       1208   C5 00058CB0 NdrConformantVaryingArrayUnmarshall
       1209   C6 000C6380 NdrConformantVaryingStructBufferSize
       1210   C7 000C4E30 NdrConformantVaryingStructFree
       1211   C8 000C5380 NdrConformantVaryingStructMarshall
       1212   C9 000CB510 NdrConformantVaryingStructMemorySize
       1213   CA 000C7640 NdrConformantVaryingStructUnmarshall
       1214   CB 00011EE0 NdrContextHandleInitialize
       1215   CC 000C64A0 NdrContextHandleSize
       1216   CD 000CDE20 NdrConvert
       1217   CE 000CDF40 NdrConvert2
       1218   CF 000641E0 NdrCorrelationFree
       1219   D0 00064850 NdrCorrelationInitialize
       1220   D1 000CE1C0 NdrCorrelationPass
       1221   D2 000C84A0 NdrCreateServerInterfaceFromStub
       1222   D3 000C8500 NdrDcomAsyncClientCall
       1223   D4 000C8580 NdrDcomAsyncStubCall
       1224   D5 0005B060 NdrDllCanUnloadNow
       1225   D6 0005B0B0 NdrDllGetClassObject
       1226   D7 000C8600 NdrDllRegisterProxy
       1227   D8 000C8670 NdrDllUnregisterProxy
       1228   D9 00067990 NdrEncapsulatedUnionBufferSize
       1229   DA 0005C9F0 NdrEncapsulatedUnionFree
       1230   DB 00068C70 NdrEncapsulatedUnionMarshall
       1231   DC 00057B40 NdrEncapsulatedUnionMemorySize
       1232   DD 00068790 NdrEncapsulatedUnionUnmarshall
       1233   DE 0005D890 NdrFixedArrayBufferSize
       1234   DF 00066020 NdrFixedArrayFree
       1235   E0 0005CE70 NdrFixedArrayMarshall
       1236   E1 0005E220 NdrFixedArrayMemorySize
       1237   E2 0005D7A0 NdrFixedArrayUnmarshall
       1238   E3 0005AF20 NdrFreeBuffer
       1012   E4 00053BA0 NdrFullPointerFree
       1013   E5 0000FFC0 NdrFullPointerInsertRefId
       1014   E6 0000FDD0 NdrFullPointerQueryPointer
       1015   E7 00010390 NdrFullPointerQueryRefId
       1239   E8 0004D060 NdrFullPointerXlatFree
       1240   E9 00010100 NdrFullPointerXlatInit
       1241   EA 000C86E0 NdrGetBaseInterfaceFromStub
       1242   EB 0002CC80 NdrGetBuffer
       1243   EC 000C8750 NdrGetDcomProtocolVersion
       1244   ED 000CE230 NdrGetSimpleTypeBufferAlignment
       1245   EE 000CE250 NdrGetSimpleTypeBufferSize
       1246   EF 0002DF10 NdrGetSimpleTypeMemorySize
       1247   F0 00064EA0 NdrGetTypeFlags
       1248   F1 00057650 NdrGetUserMarshalInfo
       1249   F2 000C6500 NdrInterfacePointerBufferSize
       1250   F3 000C4ED0 NdrInterfacePointerFree
       1251   F4 000C54E0 NdrInterfacePointerMarshall
       1252   F5 000CB700 NdrInterfacePointerMemorySize
       1253   F6 00078580 NdrInterfacePointerUnmarshall
       1254   F7 00063EE0 NdrMapCommAndFaultStatus
       1255   F8 000C91D0 NdrMesProcEncodeDecode
       1256   F9 000C95B0 NdrMesProcEncodeDecode2
       1257   FA 000036A0 NdrMesProcEncodeDecode3
       1258   FB 000C98A0 NdrMesSimpleTypeAlignSize
       1259   FC 000D7940 NdrMesSimpleTypeAlignSizeAll
       1260   FD 000C9910 NdrMesSimpleTypeDecode
       1261   FE 000D7A00 NdrMesSimpleTypeDecodeAll
       1262   FF 000C9A00 NdrMesSimpleTypeEncode
       1263  100 000D7B80 NdrMesSimpleTypeEncodeAll
       1264  101 0002D2F0 NdrMesTypeAlignSize
       1265  102 00021660 NdrMesTypeAlignSize2
       1266  103 0005DA70 NdrMesTypeAlignSize3
       1267  104 000C9AE0 NdrMesTypeDecode
       1268  105 000204A0 NdrMesTypeDecode2
       1269  106 0005DD70 NdrMesTypeDecode3
       1270  107 000C9C30 NdrMesTypeEncode
       1271  108 00021920 NdrMesTypeEncode2
       1272  109 0005D910 NdrMesTypeEncode3
       1273  10A 00064650 NdrMesTypeFree2
       1274  10B 00065510 NdrMesTypeFree3
       1275  10C 000C65A0 NdrNonConformantStringBufferSize
       1276  10D 000C5540 NdrNonConformantStringMarshall
       1277  10E 00068B90 NdrNonConformantStringMemorySize
       1278  10F 000688B0 NdrNonConformantStringUnmarshall
       1279  110 0002CF70 NdrNonEncapsulatedUnionBufferSize
       1280  111 0005CC70 NdrNonEncapsulatedUnionFree
       1281  112 0002C360 NdrNonEncapsulatedUnionMarshall
       1282  113 000583F0 NdrNonEncapsulatedUnionMemorySize
       1283  114 0002B0B0 NdrNonEncapsulatedUnionUnmarshall
       1284  115 00078740 NdrNsGetBuffer
       1285  116 00078740 NdrNsSendReceive
       1286  117 0005AA40 NdrOleAllocate
       1287  118 0005AA00 NdrOleFree
       1288  119 000CE270 NdrOutInit
       1289  11A 000C66B0 NdrPartialIgnoreClientBufferSize
       1290  11B 000C5640 NdrPartialIgnoreClientMarshall
       1291  11C 000CE3F0 NdrPartialIgnoreServerInitialize
       1292  11D 000C7C30 NdrPartialIgnoreServerUnmarshall
       1293  11E 0002D560 NdrPointerBufferSize
       1294  11F 0001F530 NdrPointerFree
       1295  120 0002A290 NdrPointerMarshall
       1296  121 000CB7A0 NdrPointerMemorySize
       1297  122 0001FBF0 NdrPointerUnmarshall
       1298  123 000CE5B0 NdrProxyErrorHandler
       1299  124 000C87B0 NdrProxyFreeBuffer
       1300  125 000C8800 NdrProxyGetBuffer
       1301  126 000C8850 NdrProxyInitialize
       1302  127 000C88D0 NdrProxySendReceive
       1303  128 0001E400 NdrRangeUnmarshall
       1304  129 000CECA0 NdrRpcSmClientAllocate
       1305  12A 000CED20 NdrRpcSmClientFree
       1306  12B 000CEDA0 NdrRpcSmSetClientToOsf
       1307  12C 000CEDD0 NdrRpcSsDefaultAllocate
       1308  12D 00072300 NdrRpcSsDefaultFree
       1309  12E 000CEDE0 NdrRpcSsDisableAllocate
       1310  12F 000CEE20 NdrRpcSsEnableAllocate
       1311  130 00078760 NdrSendReceive
       1312  131 0005E7E0 NdrServerCall2
       1313  132 0005C9A0 NdrServerCallAll
       1314  133 000033F0 NdrServerCallNdr64
       1315  134 000C5670 NdrServerContextMarshall
       1316  135 000C56C0 NdrServerContextNewMarshall
       1317  136 000C7C80 NdrServerContextNewUnmarshall
       1318  137 000C7DD0 NdrServerContextUnmarshall
       1319  138 00056120 NdrServerInitialize
       1320  139 0006B6A0 NdrServerInitializeMarshall
       1321  13A 000CA430 NdrServerInitializeNew
       1322  13B 000CA4E0 NdrServerInitializePartial
       1323  13C 000CA550 NdrServerInitializeUnmarshall
       1324  13D 000252A0 NdrSimpleStructBufferSize
       1325  13E 000C4F00 NdrSimpleStructFree
       1326  13F 00025310 NdrSimpleStructMarshall
       1327  140 00025E90 NdrSimpleStructMemorySize
       1328  141 00025F40 NdrSimpleStructUnmarshall
       1329  142 00078540 NdrSimpleTypeMarshall
       1330  143 0002C140 NdrSimpleTypeUnmarshall
       1331  144 0001C7A0 NdrStubCall2
       1332  145 0001B9C0 NdrStubCall3
       1333  146 000658B0 NdrStubForwardingFunction
       1334  147 000C8920 NdrStubGetBuffer
       1335  148 000C8980 NdrStubInitialize
       1336  149 000C8A00 NdrStubInitializeMarshall
       1337  14A 000F2050 NdrTypeFlags
