
Dump of file C:\Windows\System32\MSFlacDecoder.dll

File Type: DLL

  Section contains the following exports for MSFLACDecoder.dll

    00000000 characteristics
    E070C79A time date stamp
        0.00 version
           1 ordinal base
         169 number of functions
         169 number of names

    ordinal hint RVA      name

         56   37 00002E40 ??4SimpleIterator@Metadata@FLAC@@QEAAAEAV012@AEBV012@@Z
         57   38 000019F0 ??4State@Stream@Decoder@FLAC@@QEAAAEAV0123@$$QEAV0123@@Z
         58   39 000019F0 ??4State@Stream@Decoder@FLAC@@QEAAAEAV0123@AEBV0123@@Z
         59   3A 000019F0 ??4Status@Chain@Metadata@FLAC@@QEAAAEAV0123@$$QEAV0123@@Z
         60   3B 000019F0 ??4Status@Chain@Metadata@FLAC@@QEAAAEAV0123@AEBV0123@@Z
         61   3C 000019F0 ??4Status@SimpleIterator@Metadata@FLAC@@QEAAAEAV0123@$$QEAV0123@@Z
         62   3D 000019F0 ??4Status@SimpleIterator@Metadata@FLAC@@QEAAAEAV0123@AEBV0123@@Z
         63   3E 00002BC0 ??4StreamInfo@Metadata@FLAC@@QEAAAEAV012@AEBUFLAC__StreamMetadata@@@Z
         64   3F 00002B70 ??4StreamInfo@Metadata@FLAC@@QEAAAEAV012@AEBV012@@Z
         65   40 00002BC0 ??4StreamInfo@Metadata@FLAC@@QEAAAEAV012@PEBUFLAC__StreamMetadata@@@Z
         66   41 00002BC0 ??4Unknown@Metadata@FLAC@@QEAAAEAV012@AEBUFLAC__StreamMetadata@@@Z
         67   42 00002B70 ??4Unknown@Metadata@FLAC@@QEAAAEAV012@AEBV012@@Z
         68   43 00002BC0 ??4Unknown@Metadata@FLAC@@QEAAAEAV012@PEBUFLAC__StreamMetadata@@@Z
         69   44 00002BC0 ??4VorbisComment@Metadata@FLAC@@QEAAAEAV012@AEBUFLAC__StreamMetadata@@@Z
         70   45 00002B70 ??4VorbisComment@Metadata@FLAC@@QEAAAEAV012@AEBV012@@Z
         71   46 00002BC0 ??4VorbisComment@Metadata@FLAC@@QEAAAEAV012@PEBUFLAC__StreamMetadata@@@Z
         72   47 00002A10 ??8Application@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
         73   48 000029E0 ??8Application@Metadata@FLAC@@QEBA_NAEBV012@@Z
         74   49 00002A10 ??8Application@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
         75   4A 00002A10 ??8CueSheet@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
         76   4B 000029E0 ??8CueSheet@Metadata@FLAC@@QEBA_NAEBV012@@Z
         77   4C 00002A10 ??8CueSheet@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
         78   4D 00002A10 ??8Padding@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
         79   4E 000029E0 ??8Padding@Metadata@FLAC@@QEBA_NAEBV012@@Z
         80   4F 00002A10 ??8Padding@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
         81   50 00002A10 ??8Picture@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
         82   51 000029E0 ??8Picture@Metadata@FLAC@@QEBA_NAEBV012@@Z
         83   52 00002A10 ??8Picture@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
         84   53 00002A10 ??8Prototype@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
         85   54 000029E0 ??8Prototype@Metadata@FLAC@@QEBA_NAEBV012@@Z
         86   55 00002A10 ??8Prototype@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
         87   56 00002A10 ??8SeekTable@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
         88   57 000029E0 ??8SeekTable@Metadata@FLAC@@QEBA_NAEBV012@@Z
         89   58 00002A10 ??8SeekTable@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
         90   59 00002A10 ??8StreamInfo@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
         91   5A 000029E0 ??8StreamInfo@Metadata@FLAC@@QEBA_NAEBV012@@Z
         92   5B 00002A10 ??8StreamInfo@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
         93   5C 00002A10 ??8Unknown@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
         94   5D 000029E0 ??8Unknown@Metadata@FLAC@@QEBA_NAEBV012@@Z
         95   5E 00002A10 ??8Unknown@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
         96   5F 00002A10 ??8VorbisComment@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
         97   60 000029E0 ??8VorbisComment@Metadata@FLAC@@QEBA_NAEBV012@@Z
         98   61 00002A10 ??8VorbisComment@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
         99   62 00002A60 ??9Application@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
        100   63 00002A30 ??9Application@Metadata@FLAC@@QEBA_NAEBV012@@Z
        101   64 00002A60 ??9Application@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
        102   65 00002A60 ??9CueSheet@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
        103   66 00002A30 ??9CueSheet@Metadata@FLAC@@QEBA_NAEBV012@@Z
        104   67 00002A60 ??9CueSheet@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
        105   68 00002A60 ??9Padding@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
        106   69 00002A30 ??9Padding@Metadata@FLAC@@QEBA_NAEBV012@@Z
        107   6A 00002A60 ??9Padding@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
        108   6B 00002A60 ??9Picture@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
        109   6C 00002A30 ??9Picture@Metadata@FLAC@@QEBA_NAEBV012@@Z
        110   6D 00002A60 ??9Picture@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
        111   6E 00002A60 ??9Prototype@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
        112   6F 00002A30 ??9Prototype@Metadata@FLAC@@QEBA_NAEBV012@@Z
        113   70 00002A60 ??9Prototype@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
        114   71 00002A60 ??9SeekTable@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
        115   72 00002A30 ??9SeekTable@Metadata@FLAC@@QEBA_NAEBV012@@Z
        116   73 00002A60 ??9SeekTable@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
        117   74 00002A60 ??9StreamInfo@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
        118   75 00002A30 ??9StreamInfo@Metadata@FLAC@@QEBA_NAEBV012@@Z
        119   76 00002A60 ??9StreamInfo@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
        120   77 00002A60 ??9Unknown@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
        121   78 00002A30 ??9Unknown@Metadata@FLAC@@QEBA_NAEBV012@@Z
        122   79 00002A60 ??9Unknown@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
        123   7A 00002A60 ??9VorbisComment@Metadata@FLAC@@QEBA_NAEBUFLAC__StreamMetadata@@@Z
        124   7B 00002A30 ??9VorbisComment@Metadata@FLAC@@QEBA_NAEBV012@@Z
        125   7C 00002A60 ??9VorbisComment@Metadata@FLAC@@QEBA_NPEBUFLAC__StreamMetadata@@@Z
        126   7D 00002A90 ??BPrototype@Metadata@FLAC@@QEBAPEBUFLAC__StreamMetadata@@XZ
        127   7E 00001980 ??BState@Stream@Decoder@FLAC@@QEBA?AW4FLAC__StreamDecoderState@@XZ
        128   7F 00001980 ??BStatus@Chain@Metadata@FLAC@@QEBA?AW4FLAC__Metadata_ChainStatus@@XZ
