
Dump of file C:\Windows\System32\crypt32.dll

File Type: DLL

  Section contains the following exports for CRYPT32.dll

    00000000 characteristics
    6D85013F time date stamp
        0.00 version
        1001 ordinal base
        1000 number of functions
         295 number of names

    ordinal hint RVA      name

       1017   C1 000CFC60 CryptObjectLocatorIsChanged
       1018   C2 000CFC90 CryptObjectLocatorRelease
       1208   C3 0001C870 CryptProtectData
       1209   C4          CryptProtectMemory (forwarded to DPAPI.CryptProtectMemory)
       1210   C5 000023B0 CryptQueryObject
       1211   C6 0009B630 CryptRegisterDefaultOIDFunction
       1212   C7 0009B950 CryptRegisterOIDFunction
       1213   C8 0009D340 CryptRegisterOIDInfo
       1214   C9 000E7FB0 CryptRetrieveTimeStamp
       1215   CA 000E7970 CryptSIPAddProvider
       1216   CB 00026320 CryptSIPCreateIndirectData
       1217   CC 00024240 CryptSIPGetCaps
       1218   CD 000E7D00 CryptSIPGetSealedDigest
       1219   CE 0001C290 CryptSIPGetSignedDataMsg
       1220   CF 000274A0 CryptSIPLoad
       1221   D0 000E7DF0 CryptSIPPutSignedDataMsg
       1222   D1 000E7B50 CryptSIPRemoveProvider
       1223   D2 000E7EE0 CryptSIPRemoveSignedDataMsg
       1224   D3 00017460 CryptSIPRetrieveSubjectGuid
       1225   D4 000177D0 CryptSIPRetrieveSubjectGuidForCatalogFile
       1226   D5 0004CC30 CryptSIPVerifyIndirectData
       1227   D6 0008C410 CryptSetAsyncParam
       1228   D7 0007E630 CryptSetKeyIdentifierProperty
       1229   D8 0009BA50 CryptSetOIDFunctionValue
       1230   D9 00013120 CryptSignAndEncodeCertificate
       1231   DA 0008E5C0 CryptSignAndEncryptMessage
       1232   DB 000132C0 CryptSignCertificate
       1233   DC 0008E720 CryptSignMessage
       1234   DD 0008E830 CryptSignMessageWithKey
       1235   DE 0000A9A0 CryptStringToBinaryA
       1236   DF 0000A800 CryptStringToBinaryW
       1237   E0 000AE550 CryptUninstallDefaultContext
       1238   E1 00014E70 CryptUnprotectData
       1239   E2          CryptUnprotectMemory (forwarded to DPAPI.CryptUnprotectMemory)
       1240   E3 0009BB60 CryptUnregisterDefaultOIDFunction
       1241   E4 0009BE20 CryptUnregisterOIDFunction
       1242   E5 0009D540 CryptUnregisterOIDInfo
       1243   E6          CryptUpdateProtectedState (forwarded to DPAPI.CryptUpdateProtectedState)
       1244   E7 00081780 CryptVerifyCertificateSignature
       1245   E8 000289E0 CryptVerifyCertificateSignatureEx
       1246   E9 0008EAC0 CryptVerifyDetachedMessageHash
       1247   EA 0008EB20 CryptVerifyDetachedMessageSignature
       1248   EB 0008EBA0 CryptVerifyMessageHash
       1249   EC 0008EBF0 CryptVerifyMessageSignature
       1250   ED 0008EC70 CryptVerifyMessageSignatureWithKey
       1251   EE 00004D00 CryptVerifyTimeStampSignature
       1252   EF 00021660 I_CertChainEngineIsDisallowedCertificate
       1253   F0 0004A7D0 I_CertDiagControl
       1254   F1 0001F280 I_CertFinishSslHandshake
       1255   F2 0001F430 I_CertProcessSslHandshake
       1256   F3 0004BB20 I_CertProtectFunction
       1257   F4 0001DD10 I_CertSrvProtectFunction
       1258   F5 0007E7F0 I_CertSyncStore
       1259   F6 00006930 I_CertUpdateStore
       1260   F7 0004EEC0 I_CertWnfEnableFlushCache
       1261   F8 00026930 I_CryptAddRefLruEntry
       1262   F9 000B2310 I_CryptAddSmartCardCertToStore
       1263   FA 0001E410 I_CryptAllocTls
       1264   FB 0001E9B0 I_CryptAllocTlsEx
       1265   FC 00022C20 I_CryptCreateLruCache
       1266   FD 00033EB0 I_CryptCreateLruEntry
       1267   FE 00016C10 I_CryptDetachTls
       1268   FF 000C9300 I_CryptDisableLruOfEntries
       1269  100 000C9350 I_CryptEnableLruOfEntries
       1270  101 00003820 I_CryptEnumMatchingLruEntries
       1271  102 00029930 I_CryptFindLruEntry
       1272  103 000C93C0 I_CryptFindLruEntryData
       1273  104 000B2430 I_CryptFindSmartCardCertInStore
       1274  105 000221B0 I_CryptFlushLruCache
       1275  106 0001CDE0 I_CryptFreeLruCache
       1276  107 0001EA80 I_CryptFreeTls
       1277  108 0003A6D0 I_CryptGetAsn1Decoder
       1278  109 0003F770 I_CryptGetAsn1Encoder
       1279  10A 000283C0 I_CryptGetDefaultCryptProv
       1280  10B 000AE6D0 I_CryptGetDefaultCryptProvForEncrypt
       1281  10C 0006CD00 I_CryptGetFileVersion
       1282  10D 00027580 I_CryptGetLruEntryData
       1283  10E 000C93F0 I_CryptGetLruEntryIdentifier
       1284  10F 000B26A0 I_CryptGetOssGlobal
       1285  110 0003B8E0 I_CryptGetTls
       1286  111 00035570 I_CryptInsertLruEntry
       1287  112 0001E420 I_CryptInstallAsn1Module
       1288  113 000B26A0 I_CryptInstallOssGlobal
       1289  114 00024E60 I_CryptReadTrustedPublisherDWORDValueFromRegistry
       1290  115 0008C410 I_CryptRegisterSmartCardStore
       1291  116 00031D60 I_CryptReleaseLruEntry
       1292  117 000068B0 I_CryptRemoveLruEntry
       1293  118 0003FBD0 I_CryptSetTls
       1294  119 000065E0 I_CryptTouchLruEntry
       1295  11A 0001DD00 I_CryptUninstallAsn1Module
       1296  11B 000B26A0 I_CryptUninstallOssGlobal
       1297  11C 0008C410 I_CryptUnregisterSmartCardStore
       1298  11D 00017110 I_CryptWalkAllLruCacheEntries
       1299  11E 000D5110 I_PFXDecrypt
