
Dump of file C:\Windows\System32\vdsutil.dll

File Type: DLL

  Section contains the following exports for vdsutil.dll

    00000000 characteristics
    5B6C884E time date stamp
        0.00 version
           1 ordinal base
         238 number of functions
         238 number of names

    ordinal hint RVA      name

        178   B1 0000BD30 MirrorBcdObjects
        179   B2 000090D0 MountVolume
        180   B3 000047E0 OpenDevice
        181   B4 000092B0 QueryObjects
        182   B5 0000D9C0 QueryVolPersistentState
        183   B6 00001500 ReInitializeRundownProtection
        184   B7 00003620 RegisterProvider
        185   B8 00001550 ReleaseRundownProtection
        186   B9 00003B90 RemoveEventSource
        187   BA 00007E40 RemoveTempVolumeName
        188   BB 00001510 RundownCompleted
        189   BC 000055A0 SetDiskLayout
        190   BD 000014D0 StartReferenceHistory
        191   BE 000014E0 StopReferenceHistory
        192   BF 00011C50 UnInitializeGlobalResouce
        193   C0 00003800 UnregisterProvider
        194   C1 00001EF0 VdsAllocateEmptyString
        195   C2 00001F80 VdsAllocateString
        196   C3 00001740 VdsAssert
        197   C4 0000C7C0 VdsDisableCOMFatalExceptionHandling
        198   C5 0000C390 VdsDoesDiskHaveArcPath
        199   C6 00001EA0 VdsHeapAlloc
        200   C7 00001EC0 VdsHeapFree
        201   C8 00001E50 VdsInitializeCriticalSection
        202   C9 0000EBC0 VdsIscsiCacheSessionDevices
        203   CA 0000E8E0 VdsIscsiCheckEqualIpAddress
        204   CB 0000E2B0 VdsIscsiGetIpAddressFromInstance
        205   CC 0000DF70 VdsIscsiIpAddressToIpsecId
        206   CD 0000DD50 VdsIscsiIpAddressToString
        207   CE 0000E170 VdsIscsiIpsecIdToIpAddress
        208   CF 0000F0C0 VdsIscsiIsIscsiLun
        209   D0 0000E5F0 VdsIscsiSetIpAddressInInstance
        210   D1 00001900 VdsTrace
        211   D2 00001940 VdsTraceEx
        212   D3 00001970 VdsTraceExHelper
        213   D4 00001B30 VdsTraceExW
        214   D5 00001B60 VdsTraceExWHelper
        215   D6 00001AF0 VdsTraceW
        216   D7 00010090 VdsWmiCallMethod
        217   D8 0000F420 VdsWmiConnectToNamespace
        218   D9 0000FE00 VdsWmiCopyFromVariantByteArray
        219   DA 00010790 VdsWmiCopyToVariantByteArray
        220   DB 000101D0 VdsWmiCreateClassInstance
        221   DC 00010710 VdsWmiCreateVariantArray
        222   DD 0000FC00 VdsWmiFindInstanceOfClass
        223   DE 0000F750 VdsWmiGetBoolFromInstance
        224   DF 0000F6A0 VdsWmiGetByteFromInstance
        225   E0 0000FAA0 VdsWmiGetByteInVariantByteArray
        226   E1 0000FF90 VdsWmiGetMethodArgumentObject
        227   E2 0000F820 VdsWmiGetObjectFromInstance
        228   E3 0000F8F0 VdsWmiGetObjectInVariantObjectArray
        229   E4 0000F5F0 VdsWmiGetUlongFromInstance
