
Dump of file C:\Windows\System32\Wldap32.dll

File Type: DLL

  Section contains the following exports for WLDAP32.dll

    00000000 characteristics
     5A1CCFB time date stamp
        0.00 version
          10 ordinal base
         324 number of functions
         245 number of names

    ordinal hint RVA      name

         59   DF 0000A380 ldap_simple_bind
        213   E0 0000A380 ldap_simple_bindA
        214   E1 0000A3A0 ldap_simple_bindW
         60   E2 0000A490 ldap_simple_bind_s
        215   E3 0000A490 ldap_simple_bind_sA
        216   E4 0000A4B0 ldap_simple_bind_sW
        217   E5 0001F3D0 ldap_sslinit
        218   E6 0001F3D0 ldap_sslinitA
        219   E7 0001F450 ldap_sslinitW
        330   E8 00037BF0 ldap_start_tls_sA
        329   E9 00037BF0 ldap_start_tls_sW
        201   EA 00014540 ldap_startup
        331   EB 00037C10 ldap_stop_tls_s
        220   EC 00018EB0 ldap_ufn2dn
        221   ED 00018EB0 ldap_ufn2dnA
        222   EE 00018F60 ldap_ufn2dnW
         13   EF 00039120 ldap_unbind
         46   F0 00039270 ldap_unbind_s
         38   F1 0002FBF0 ldap_value_free
        223   F2 0002FBF0 ldap_value_freeA
        224   F3 0002FC60 ldap_value_freeW
         79   F4 0002FC60 ldap_value_free_len

  Summary

        2000 .data
        1000 .didat
        2000 .pdata
       12000 .rdata
        1000 .reloc
        2000 .rsrc
       3B000 .text
