
Dump of file C:\Windows\System32\untfs.dll

File Type: DLL

  Section contains the following exports for UNTFS.dll

    00000000 characteristics
    7B6C8309 time date stamp
        0.00 version
           1 ordinal base
         167 number of functions
         167 number of names

    ordinal hint RVA      name

        120   77 00057130 ?QueryFrsFromPath@NTFS_SA@@QEAAEW4FIX_LEVEL@@PEBVWSTRING@@PEAVNTFS_MASTER_FILE_TABLE@@PEAVNTFS_BITMAP@@PEAVNTFS_FILE_RECORD_SEGMENT@@PEAE5@Z
        121   78 00011900 ?QueryLcnFromVcn@NTFS_EXTENT_LIST@@QEBAEVBIG_INT@@PEAV2@1@Z
        122   79 0000CBE0 ?QueryName@NTFS_ATTRIBUTE_RECORD@@QEBAEPEAVWSTRING@@@Z
        123   7A 00009E40 ?QueryNextEntry@NTFS_ATTRIBUTE_LIST@@QEBAEPEAU_ATTR_LIST_CURR_ENTRY@@PEAKPEAVBIG_INT@@PEAU_MFT_SEGMENT_REFERENCE@@PEAGPEAVWSTRING@@@Z
        124   7B 00011F90 ?QueryNumberOfExtents@NTFS_EXTENT_LIST@@QEBAKXZ
        125   7C 000120F0 ?QuerySectorsInElementaryStructures@NTFS_SA@@SAKPEAVDP_DRIVE@@KKKKE@Z
        126   7D 00001800 ?QuerySegmentReference@NTFS_MFT_INFO@@SA?AU_MFT_SEGMENT_REFERENCE@@PEAX@Z
        127   7E 000575C0 ?QueryVolumeFlagsAndLabel@NTFS_SA@@QEAAGPEAE00PEAVWSTRING@@@Z
        128   7F 00006E10 ?Read@NTFS_ATTRIBUTE@@QEAAEPEAXVBIG_INT@@KPEAK@Z
        129   80 00020BF0 ?Read@NTFS_FRS_STRUCTURE@@QEAAEVBIG_INT@@@Z
        130   81 00020B40 ?Read@NTFS_FRS_STRUCTURE@@UEAAEXZ
        131   82 0003ABE0 ?Read@NTFS_MFT_FILE@@UEAAEXZ
        132   83 00056D60 ?Read@NTFS_SA@@QEAAEPEAVMESSAGE@@@Z
        133   84 00058770 ?Read@NTFS_SA@@UEAAEXZ
        134   85 00020CB0 ?ReadAgain@NTFS_FRS_STRUCTURE@@QEAAEVBIG_INT@@@Z
        135   86 00020BF0 ?ReadAt@NTFS_FRS_STRUCTURE@@QEAAEVBIG_INT@@@Z
        136   87 0000A080 ?ReadList@NTFS_ATTRIBUTE_LIST@@QEAAEXZ
        137   88 00020C10 ?ReadNext@NTFS_FRS_STRUCTURE@@QEAAEVBIG_INT@@@Z
        138   89 00006E40 ?ReadWithAltExtents@NTFS_ATTRIBUTE@@QEAAEPEAXVBIG_INT@@KPEAKPEAVNTFS_EXTENT_LIST@@@Z
        139   8A 0000E630 ?Relocate@NTFS_CLUSTER_RUN@@QEAAXVBIG_INT@@@Z
        140   8B 00037EF0 ?ResetIterator@NTFS_INDEX_TREE@@QEAAEE@Z
        141   8C 00037FF0 ?ResetIterator@NTFS_INDEX_TREE@@QEAAEPEBU_INDEX_ENTRY@@E@Z
        142   8D 00006AA0 ?Resize@NTFS_ATTRIBUTE@@UEAAEVBIG_INT@@PEAVNTFS_BITMAP@@@Z
        143   8E 00021510 ?SafeQueryAttribute@NTFS_FRS_STRUCTURE@@QEAAEKPEAVNTFS_ATTRIBUTE@@0PEAVWSTRING@@@Z
        144   8F 00035070 ?Save@NTFS_INDEX_TREE@@QEAAEPEAVNTFS_FILE_RECORD_SEGMENT@@@Z
        146   90 00006C50 ?SetSparse@NTFS_ATTRIBUTE@@UEAAEVBIG_INT@@PEAVNTFS_BITMAP@@E@Z
        147   91 00058540 ?SetVolumeFlag@NTFS_SA@@QEAAEGPEAE@Z
        149   92 000587E0 ?TakeCensus@NTFS_SA@@QEAAEPEAVNTFS_MASTER_FILE_TABLE@@KPEAUNTFS_CENSUS_INFO@@@Z
        150   93 000073B0 ?Write@NTFS_ATTRIBUTE@@UEAAEPEBXVBIG_INT@@KPEAKPEAVNTFS_BITMAP@@@Z
        151   94 0003C870 ?Write@NTFS_BITMAP@@QEAAEPEAVNTFS_ATTRIBUTE@@PEAV1@@Z
        152   95 0001B9C0 ?Write@NTFS_FILE_RECORD_SEGMENT@@UEAAEXZ
        153   96 00020CC0 ?Write@NTFS_FRS_STRUCTURE@@QEAAEXZ
        154   97 0003C930 ?WriteModified@NTFS_BITMAP@@QEAAEPEAVNTFS_ATTRIBUTE@@PEAV1@@Z
        155   98 00012310 ?WriteRemainingBootCode@NTFS_SA@@QEAAEXZ
        156   99 0000E770 Chkdsk
        157   9A 0000F140 ChkdskEx
        158   9B 00001850 CreateFormatCorruptionRecordContext
        159   9C 000018B0 DeleteFormatCorruptionRecordContext
        160   9D 00010EA0 Extend
        161   9E 00010230 Format
        162   9F 000018E0 FormatCorruptionRecordA
        163   A0 000018F0 FormatCorruptionRecordW
        164   A1 00010630 FormatEx
        165   A2 00010000 GetFilesystemInformation
        166   A3 0007AA60 NtfsUpcaseCompare
        167   A4 00010C80 Recover
        145   A5 0000EC80 SetOriginalVolumeName
